Syntax version=4
Wed May 02 08:32:41 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z	imu_status	imu_temp
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)	(0x20000120,1)	(0x2000023c,3)
D:	0.06	-1731	-338	-16308	-98	27	-39	-1289	-196	-3344	1	50
D:	2.32	-1660	-271	-16152	-98	27	-39	-1301	-203	-3358	0	49
D:	4.09	-1660	-271	-16152	-47	-12	-87	-1301	-203	-3358	1	49
D:	5.70	-2027	-269	-16361	-47	-12	-87	-1301	-203	-3358	3	49
D:	7.27	-2027	-269	-16361	-47	-12	-87	-1301	-203	-3358	2	49
D:	8.88	-2027	-269	-16361	-36	85	-132	-1301	-203	-3358	3	49
D:	10.60	-1757	-159	-16075	-36	85	-132	-1301	-203	-3358	0	49
D:	12.21	-1757	-159	-16075	34	102	-58	-1301	-203	-3358	1	49
D:	13.81	-1576	-331	-16261	34	102	-58	-1301	-203	-3358	0	49
D:	15.38	-1576	-331	-16261	34	102	-58	-1301	-203	-3358	2	49
D:	16.98	-1576	-331	-16261	-82	-8	-151	-1301	-203	-3358	3	49
D:	18.53	-1781	-193	-16290	-82	-8	-151	-1301	-203	-3358	0	49
D:	20.09	-1781	-193	-16290	-31	88	-135	-1301	-203	-3358	1	49
D:	21.92	-1645	-247	-16194	-31	88	-135	-1293	-191	-3346	0	49
D:	23.58	-1645	-247	-16194	-31	88	-135	-1293	-191	-3346	2	49
D:	25.16	-1645	-247	-16194	17	20	-118	-1293	-191	-3346	3	49
D:	26.78	-1683	-339	-16541	17	20	-118	-1293	-191	-3346	2	49
D:	28.40	-1683	-339	-16541	28	7	-46	-1293	-191	-3346	1	49
D:	29.98	-1621	-273	-16456	28	7	-46	-1293	-191	-3346	0	49
D:	31.69	-1621	-273	-16456	28	100	-104	-1293	-191	-3346	2	49
D:	33.36	-1621	-273	-16456	-26	100	-104	-1293	-191	-3346	3	49
D:	35.15	-1377	-357	-16703	-26	100	-104	-1293	-191	-3346	2	49
D:	36.78	-1377	-357	-16703	-130	76	-24	-1293	-191	-3346	3	49
D:	38.41	-1728	-233	-16300	-130	76	-24	-1293	-191	-3346	0	49
D:	39.97	-1728	-233	-16300	-130	89	-137	-1293	-191	-3346	1	49
D:	41.73	-1574	-313	-16317	-105	89	-137	-1293	-191	-3346	3	49
D:	43.28	-1574	-313	-16317	-105	89	-137	-1293	-191	-3346	2	49
D:	44.84	-1574	-313	-16317	-99	69	-56	-1293	-216	-3189	3	49
D:	46.43	-1758	-342	-16512	-99	69	-56	-1293	-216	-3189	0	49
D:	48.09	-1758	-342	-16512	-150	-20	-48	-1293	-216	-3189	1	49
D:	49.68	-1731	-296	-16383	-150	-20	-48	-1293	-216	-3189	3	49
D:	51.25	-1731	-296	-16383	-150	-20	-48	-1293	-216	-3189	2	49
D:	52.84	-1731	-296	-16383	-142	-32	-50	-1293	-216	-3189	3	49
D:	54.38	-1816	-215	-16321	-142	-32	-50	-1293	-216	-3189	0	49
D:	55.98	-1816	-215	-16321	114	22	-85	-1293	-216	-3189	1	49
D:	57.58	-1668	-298	-16436	38	22	-85	-1293	-216	-3189	3	49
D:	59.13	-1668	-298	-16436	38	22	-85	-1293	-216	-3189	2	49
D:	60.78	-1668	-298	-16436	-71	-8	-44	-1293	-216	-3189	3	49
D:	62.35	-1680	-357	-16369	-71	-8	-44	-1293	-216	-3189	0	50
D:	63.98	-1680	-357	-16369	-71	37	-27	-1293	-216	-3189	1	50
D:	65.56	-1813	-139	-16172	-74	37	-27	-1283	-187	-3329	3	50
D:	67.16	-1813	-139	-16172	-74	37	-27	-1283	-187	-3329	2	50
D:	68.78	-1813	-139	-16172	-23	60	-30	-1283	-187	-3329	3	50
D:	70.36	-1526	-360	-16611	-23	60	-30	-1283	-187	-3329	0	50
D:	71.96	-1526	-360	-16611	-23	39	20	-1283	-187	-3329	1	50
D:	73.51	-1526	-360	-16611	-47	39	20	-1283	-187	-3329	3	50
D:	75.10	-1800	-241	-16629	-47	39	20	-1283	-187	-3329	2	50
D:	76.68	-1800	-241	-16629	-80	131	-92	-1283	-187	-3329	1	50
D:	78.26	-1691	-222	-16306	-80	131	-92	-1283	-187	-3329	0	50
D:	79.86	-1691	-222	-16306	-80	6	-17	-1283	-187	-3329	1	50
D:	81.52	-1691	-222	-16306	-41	6	-17	-1283	-187	-3329	3	50
D:	83.23	-1637	-200	-16324	-41	6	-17	-1283	-187	-3329	2	50
D:	84.87	-1637	-200	-16324	-18	23	-108	-1298	-225	-3420	3	50
D:	86.51	-1757	-244	-16199	-18	23	-108	-1298	-225	-3420	0	50
D:	88.08	-1757	-244	-16199	2	34	-72	-1298	-225	-3420	1	50
D:	89.68	-1719	-285	-16396	2	34	-72	-1298	-225	-3420	3	50
