Syntax version=4
Thu Mar 15 12:28:39 2018
Starting process (2648443 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)
D:	0.08	4753	8272	12104	-38	-39	-439	-5379	-3083	1758
D:	1.44	4815	8646	12365	-38	-39	-439	-5379	-3083	1758
D:	2.63	4815	8646	12365	-38	-39	-439	-5379	-3083	1758
D:	3.53	4815	8646	12365	-38	2	-572	-5379	-3083	1758
D:	4.53	5202	8531	12313	97	2	-572	-5379	-3083	1758
D:	5.41	5202	8531	12313	97	2	-572	-5391	-3091	1827
D:	6.34	5202	8531	12313	97	2	-572	-5391	-3091	1827
D:	7.36	5202	8531	12313	97	2	-572	-5391	-3091	1827
D:	8.29	5202	8531	11926	92	-52	-510	-5391	-3091	1827
D:	9.50	5279	8676	11926	92	-52	-510	-5391	-3091	1827
D:	10.60	5279	8676	11926	92	-52	-510	-5391	-3091	1827
D:	11.68	5279	8676	11926	92	165	-286	-5391	-3091	1827
D:	12.69	4967	8884	12643	-119	165	-286	-5391	-3091	1827
D:	13.95	4967	8884	12643	-119	165	-286	-5391	-3091	1827
D:	14.98	4967	8884	12643	-119	165	-286	-5391	-3091	1827
D:	15.96	4967	8884	12643	-414	308	-420	-5391	-3091	1827
D:	16.83	4928	8912	12693	-414	308	-420	-5391	-3091	1827
D:	17.70	4928	8912	12693	-414	308	-420	-5391	-3091	1827
D:	18.64	4928	8912	12693	-414	308	-420	-5391	-3091	1827
D:	19.50	4928	8912	12693	-414	308	-420	-5391	-3091	1827
D:	20.36	4928	8912	12693	-647	416	-442	-5391	-3091	1827
D:	21.23	5028	8628	12532	-647	416	-442	-5391	-3091	1827
D:	22.10	5028	8628	12532	-647	416	-442	-5391	-3091	1827
D:	22.94	5028	8628	12532	-647	416	-442	-5391	-3091	1827
D:	23.77	5028	8628	12532	-647	294	-445	-5391	-3091	1827
D:	24.60	5004	8650	12419	-800	294	-445	-5391	-3091	1827
D:	25.55	5004	8650	12419	-800	294	-445	-5386	-3091	1656
D:	26.62	5004	8650	12419	-800	294	-445	-5386	-3091	1656
D:	27.55	5004	8650	12419	-800	438	-310	-5386	-3091	1656
D:	28.50	4755	8626	12562	-866	438	-310	-5386	-3091	1656
D:	29.37	4755	8626	12562	-866	438	-310	-5386	-3091	1656
D:	30.23	4755	8626	12562	-866	438	-310	-5386	-3091	1656
D:	31.12	4755	8626	12562	-866	438	-310	-5386	-3091	1656
D:	32.09	4755	8626	12562	-1022	534	-403	-5386	-3091	1656
D:	32.93	5069	8859	12872	-1022	534	-403	-5386	-3091	1656
D:	33.88	5069	8859	12872	-1022	534	-403	-5386	-3091	1656
D:	34.94	5069	8859	12872	-1022	534	-403	-5386	-3091	1656
D:	35.85	5069	8859	12872	-1022	188	-260	-5386	-3091	1656
D:	36.70	5005	8978	11238	-796	188	-260	-5386	-3091	1656
D:	37.64	5005	8978	11238	-796	188	-260	-5386	-3091	1656
D:	38.50	5005	8978	11238	-796	188	-260	-5386	-3091	1656
D:	39.34	5005	8978	11238	-796	188	-260	-5386	-3091	1656
D:	40.18	5005	8978	11238	-1201	594	277	-5386	-3091	1656
D:	41.05	4334	7961	12329	-1201	594	277	-5386	-3091	1656
D:	41.93	4334	7961	12329	-1201	594	277	-5386	-3091	1656
D:	42.77	4334	7961	12329	-1201	594	277	-5386	-3091	1656
D:	43.60	4334	7961	12329	-1201	807	-178	-5386	-3091	1656
D:	44.50	4334	7961	13238	-1240	807	-178	-5386	-3091	1656
D:	45.33	3886	8814	13238	-1240	807	-178	-5386	-3091	1656
D:	46.37	3886	8814	13238	-1240	807	-178	-5392	-3112	1541
D:	47.41	3886	8814	13238	-1240	101	-238	-5392	-3112	1541
D:	48.56	5242	8879	12811	-853	101	-238	-5392	-3112	1541
D:	49.57	5242	8879	12811	-853	101	-238	-5392	-3112	1541
D:	50.50	5242	8879	12811	-853	101	-238	-5392	-3112	1541
D:	51.39	5242	8879	12811	-853	101	-238	-5392	-3112	1541
D:	52.25	5242	8879	12811	-1106	-123	-183	-5392	-3112	1541
D:	53.13	5219	8554	12333	-1106	-123	-183	-5392	-3112	1541
D:	54.08	5219	8554	12333	-1106	-123	-183	-5392	-3112	1541
