Syntax version=4
Thu Mar 15 12:30:14 2018
Starting process (2648443 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)
D:	0.06	-1824	541	16100	383	9	-643	-3460	-1703	5615
D:	1.07	-1824	541	16100	383	9	-643	-3460	-1703	5615
D:	1.97	-1824	541	16100	383	9	-643	-3460	-1703	5615
D:	2.96	-2104	581	16289	616	-60	-698	-3460	-1703	5615
D:	4.12	-2104	581	16289	616	-60	-698	-3459	-1735	5535
D:	5.06	-2104	581	16289	616	-60	-698	-3459	-1735	5535
D:	5.93	-2104	581	16289	616	-60	-698	-3459	-1735	5535
D:	6.89	-2104	581	16289	619	-95	-705	-3459	-1735	5535
D:	7.80	-2142	558	16220	619	-95	-705	-3459	-1735	5535
D:	8.72	-2142	558	16220	619	-95	-705	-3459	-1735	5535
D:	9.67	-2142	558	16220	619	-95	-705	-3459	-1735	5535
D:	10.77	-2142	558	16220	653	-145	-647	-3459	-1735	5535
D:	11.72	-2046	294	15676	653	-145	-647	-3459	-1735	5535
D:	12.61	-2046	294	15676	653	-145	-647	-3459	-1735	5535
D:	13.48	-2046	294	15676	653	-145	-647	-3459	-1735	5535
D:	14.36	-2046	294	15676	397	-114	-642	-3459	-1735	5535
D:	15.25	-2133	446	16058	366	-114	-642	-3459	-1735	5535
D:	16.11	-2133	446	16058	366	-114	-642	-3459	-1735	5535
D:	16.99	-2133	446	16058	366	-114	-642	-3459	-1735	5535
D:	17.86	-2133	446	16058	366	-114	-642	-3459	-1735	5535
D:	18.74	-2133	446	16058	330	-121	-626	-3459	-1735	5535
D:	19.68	-1812	396	16068	330	-121	-626	-3459	-1735	5535
D:	20.54	-1812	396	16068	330	-121	-626	-3459	-1735	5535
D:	21.42	-1812	396	16068	330	-121	-626	-3459	-1735	5535
D:	22.29	-1812	396	16068	330	-82	-559	-3459	-1735	5535
D:	23.14	-1923	389	16094	152	-82	-559	-3459	-1735	5535
D:	24.11	-1923	389	16094	152	-82	-559	-3460	-1744	5587
D:	25.02	-1923	389	16094	152	-82	-559	-3460	-1744	5587
D:	25.89	-1923	389	16094	152	-82	-559	-3460	-1744	5587
D:	26.76	-1923	389	16094	59	-143	-610	-3460	-1744	5587
D:	27.63	-1999	335	16085	59	-143	-610	-3460	-1744	5587
D:	28.66	-1999	335	16085	59	-143	-610	-3460	-1744	5587
D:	29.71	-1999	335	16085	59	-143	-610	-3460	-1744	5587
D:	30.68	-1999	335	16085	102	-203	-638	-3460	-1744	5587
D:	31.53	-1733	407	15522	102	-203	-638	-3460	-1744	5587
D:	32.58	-1733	407	15522	102	-203	-638	-3460	-1744	5587
D:	33.57	-1733	407	15522	102	-203	-638	-3460	-1744	5587
D:	34.56	-1733	407	15522	136	-117	-647	-3460	-1744	5587
D:	35.59	-1908	614	15710	136	-117	-647	-3460	-1744	5587
D:	36.71	-1908	614	15710	136	-117	-647	-3460	-1744	5587
D:	37.64	-1908	614	15710	136	-117	-647	-3460	-1744	5587
D:	38.55	-1908	614	15710	146	-168	-523	-3460	-1744	5587
D:	39.40	-1812	580	15691	146	-168	-523	-3460	-1744	5587
D:	40.24	-1812	580	15691	146	-168	-523	-3460	-1744	5587
D:	41.11	-1812	580	15691	146	-168	-523	-3460	-1744	5587
D:	41.99	-1812	580	15691	146	-76	-572	-3460	-1744	5587
D:	42.84	-1812	580	15691	-26	-76	-572	-3460	-1744	5587
D:	43.71	-1664	756	15613	-26	-76	-572	-3460	-1744	5587
D:	44.79	-1664	756	15613	-26	-76	-572	-3467	-1764	5655
D:	45.71	-1664	756	15613	-26	-76	-572	-3467	-1764	5655
D:	46.55	-1664	756	15613	-90	-65	-547	-3467	-1764	5655
D:	47.41	-1754	878	16083	-90	-65	-547	-3467	-1764	5655
D:	48.26	-1754	878	16083	-90	-65	-547	-3467	-1764	5655
D:	49.29	-1754	878	16083	-90	-65	-547	-3467	-1764	5655
D:	50.34	-1754	878	16083	-90	-142	-472	-3467	-1764	5655
D:	51.21	-1748	857	15691	-118	-142	-472	-3467	-1764	5655
D:	52.17	-1748	857	15691	-118	-142	-472	-3467	-1764	5655
D:	53.31	-1748	857	15691	-118	-142	-472	-3467	-1764	5655
D:	54.47	-1748	857	15691	118	-1	-490	-3467	-1764	5655
D:	55.54	-1810	1091	16022	118	-1	-490	-3467	-1764	5655
D:	56.41	-1810	1091	16022	118	-1	-490	-3467	-1764	5655
D:	57.27	-1810	1091	16022	118	-1	-490	-3467	-1764	5655
D:	58.11	-1810	1091	16022	118	-29	-416	-3467	-1764	5655
D:	58.99	-1741	1019	15595	382	-29	-416	-3467	-1764	5655
D:	59.86	-1741	1019	15595	382	-29	-416	-3467	-1764	5655
D:	60.71	-1741	1019	15595	382	-29	-416	-3467	-1764	5655
D:	61.64	-1741	1019	15595	382	-29	-416	-3467	-1764	5655
D:	62.82	-1741	1019	15595	617	-49	-500	-3467	-1764	5655
D:	63.71	-1721	1162	15530	617	-49	-500	-3467	-1764	5655
D:	64.68	-1721	1162	15530	617	-49	-500	-3467	-1758	5640
D:	65.54	-1721	1162	15530	617	-49	-500	-3467	-1758	5640
D:	66.43	-1721	1162	15530	726	69	-360	-3467	-1758	5640
D:	67.29	-1594	1013	15996	726	69	-360	-3467	-1758	5640
D:	68.16	-1594	1013	15996	726	69	-360	-3482	-1758	5640
D:	69.06	-1594	1013	15996	726	69	-360	-3482	-1758	5640
D:	71.06	-1727	1011	15925	705	26	-390	-3482	-1758	5640
D:	72.06	-1727	1011	15925	705	26	-390	-3482	-1758	5640
D:	73.25	-1727	1011	15925	705	26	-390	-3482	-1758	5640
D:	74.30	-1727	1011	15925	705	0	-349	-3482	-1758	5640
D:	75.17	-1965	998	16043	687	0	-349	-3482	-1758	5640
D:	76.06	-1965	998	16043	687	0	-349	-3482	-1758	5640
D:	77.00	-1965	998	16043	687	0	-349	-3482	-1758	5640
D:	77.88	-1965	998	16043	687	0	-349	-3482	-1758	5640
D:	78.76	-1965	998	16043	673	235	-337	-3482	-1758	5640
D:	79.64	-1936	854	16132	673	235	-337	-3482	-1758	5640
D:	80.53	-1936	854	16132	673	235	-337	-3482	-1758	5640
D:	81.37	-1936	854	16132	673	235	-337	-3482	-1758	5640
D:	82.22	-1936	854	16132	673	30	-335	-3482	-1758	5640
D:	83.10	-1964	839	16144	573	30	-335	-3482	-1758	5640
D:	84.00	-1964	839	16144	573	30	-335	-3482	-1758	5640
D:	84.86	-1964	839	16144	573	30	-335	-3482	-1758	5640
D:	85.71	-1964	839	16144	573	30	-335	-3482	-1758	5640
D:	86.55	-1964	839	16144	290	117	-280	-3482	-1758	5640
D:	87.39	-2284	806	16268	290	117	-280	-3482	-1758	5640
D:	88.26	-2284	806	16268	290	117	-280	-3475	-1788	5498
D:	89.13	-2284	806	16268	290	117	-280	-3475	-1788	5498
D:	89.96	-2284	806	16268	290	117	-280	-3475	-1788	5498
D:	90.92	-1554	680	16198	585	280	-111	-3475	-1788	5498
D:	91.88	-1554	680	16198	585	280	-111	-3475	-1788	5498
D:	92.97	-1554	680	16198	585	280	-111	-3475	-1788	5498
D:	93.83	-1554	680	16198	585	280	-111	-3475	-1788	5498
D:	94.66	-1554	680	16198	433	55	-214	-3475	-1788	5498
D:	95.54	-2086	654	16010	433	55	-214	-3475	-1788	5498
D:	96.39	-2086	654	16010	433	55	-214	-3475	-1788	5498
D:	97.24	-2086	654	16010	433	55	-214	-3475	-1788	5498
D:	98.12	-2086	654	16010	433	66	-257	-3475	-1788	5498
D:	98.99	-2077	488	16344	363	66	-257	-3475	-1788	5498
D:	99.97	-2077	488	16344	363	66	-257	-3475	-1788	5498
D:	100.97	-2077	488	16344	363	66	-257	-3475	-1788	5498
D:	101.86	-2077	488	16344	363	66	-257	-3475	-1788	5498
D:	102.71	-2077	488	16344	236	-29	-309	-3475	-1788	5498
D:	103.59	-2051	593	16142	236	-29	-309	-3475	-1788	5498
D:	104.43	-2051	593	16142	236	-29	-309	-3475	-1788	5498
D:	105.28	-2051	593	16142	236	-29	-309	-3475	-1788	5498
D:	106.19	-2051	593	16142	236	24	-319	-3475	-1788	5498
D:	107.17	-2142	742	16150	328	24	-319	-3475	-1788	5498
D:	108.29	-2142	742	16150	328	24	-319	-3466	-1760	5565
D:	109.27	-2142	742	16150	328	24	-319	-3466	-1760	5565
D:	110.12	-2142	742	16150	328	-21	-221	-3466	-1760	5565
D:	111.01	-1891	712	16104	207	-21	-221	-3466	-1760	5565
D:	111.92	-1891	712	16104	207	-21	-221	-3466	-1760	5565
D:	112.95	-1891	712	16104	207	-21	-221	-3466	-1760	5565
D:	114.01	-1891	712	16104	207	-117	-243	-3466	-1760	5565
D:	115.04	-1937	833	16104	73	-117	-243	-3466	-1760	5565
D:	115.99	-1937	833	16104	73	-117	-243	-3466	-1760	5565
D:	116.85	-1937	833	16104	73	-117	-243	-3466	-1760	5565
D:	117.94	-1937	833	16104	73	-218	-186	-3466	-1760	5565
D:	118.92	-1937	833	16104	-102	-218	-186	-3466	-1760	5565
D:	119.76	-1995	977	16164	-102	-218	-186	-3466	-1760	5565
D:	120.79	-1995	977	16164	-102	-218	-186	-3466	-1760	5565
D:	121.84	-1995	977	16164	-102	-218	-186	-3466	-1760	5565
D:	122.86	-1877	981	15670	-50	-200	-313	-3466	-1760	5565
D:	123.94	-1877	981	15670	-50	-200	-313	-3466	-1760	5565
D:	124.88	-1877	981	15670	-50	-200	-313	-3466	-1760	5565
D:	125.76	-1877	981	15670	-50	-200	-313	-3466	-1760	5565
D:	126.76	-1877	981	15670	115	-152	-303	-3466	-1760	5565
D:	127.72	-1931	1006	16000	115	-152	-303	-3466	-1760	5565
D:	128.76	-1931	1006	16000	115	-152	-303	-3470	-1797	5504
D:	129.64	-1931	1006	16000	115	-152	-303	-3470	-1797	5504
D:	130.55	-1931	1006	16000	242	-149	-308	-3470	-1797	5504
D:	131.45	-1936	1011	16064	242	-149	-308	-3470	-1797	5504
D:	132.48	-1936	1011	16064	242	-149	-308	-3470	-1797	5504
D:	133.44	-1936	1011	16064	242	-149	-308	-3470	-1797	5504
D:	134.31	-1936	1011	16064	498	-174	-507	-3470	-1797	5504
D:	135.19	-2006	964	15502	342	-174	-507	-3470	-1797	5504
D:	136.09	-2006	964	15502	342	-174	-507	-3470	-1797	5504
D:	136.97	-2006	964	15502	342	-174	-507	-3470	-1797	5504
D:	138.05	-2006	964	15502	342	-58	-272	-3470	-1797	5504
D:	139.19	-2014	763	15818	421	-58	-272	-3470	-1797	5504
D:	140.15	-2014	763	15818	421	-58	-272	-3470	-1797	5504
D:	141.14	-2014	763	15818	421	-58	-272	-3470	-1797	5504
D:	142.01	-2014	763	15818	421	-42	-314	-3470	-1797	5504
D:	143.02	-1946	679	15500	506	-42	-314	-3470	-1797	5504
D:	144.01	-1946	679	15500	506	-42	-314	-3470	-1797	5504
D:	144.86	-1946	679	15500	506	-42	-314	-3470	-1797	5504
D:	145.87	-1946	679	15500	506	-42	-314	-3470	-1797	5504
D:	146.86	-1946	679	15500	620	-110	-400	-3470	-1797	5504
D:	147.73	-2028	680	15960	620	-110	-400	-3470	-1797	5504
D:	148.68	-2028	680	15960	620	-110	-400	-3472	-1789	5558
D:	149.60	-2028	680	15960	620	-110	-400	-3472	-1789	5558
D:	150.48	-2028	680	15960	799	17	-378	-3472	-1789	5558
D:	151.55	-1863	680	15865	799	17	-378	-3472	-1789	5558
D:	152.62	-1863	680	15865	799	17	-378	-3472	-1789	5558
D:	153.75	-1863	680	15865	799	17	-378	-3472	-1789	5558
D:	154.73	-1863	680	15865	850	48	-445	-3472	-1789	5558
D:	155.66	-1818	639	15186	850	48	-445	-3472	-1789	5558
D:	156.57	-1818	639	15186	850	48	-445	-3472	-1789	5558
D:	157.44	-1818	639	15186	850	48	-445	-3472	-1789	5558
D:	158.28	-1818	639	15186	850	-18	-352	-3472	-1789	5558
D:	159.18	-1950	707	15751	860	-18	-352	-3472	-1789	5558
D:	160.12	-1950	707	15751	860	-18	-352	-3472	-1789	5558
D:	161.00	-1950	707	15751	860	-18	-352	-3472	-1789	5558
D:	161.84	-1950	707	15751	860	-18	-352	-3472	-1789	5558
D:	162.71	-1950	707	15751	869	133	-406	-3472	-1789	5558
D:	163.59	-2187	601	15330	869	133	-406	-3472	-1789	5558
D:	164.45	-2187	601	15330	869	133	-406	-3472	-1789	5558
D:	165.32	-2187	601	15330	869	133	-406	-3472	-1789	5558
D:	166.16	-2187	601	15330	869	113	-255	-3472	-1789	5558
D:	167.11	-1994	832	15854	571	113	-255	-3472	-1789	5558
D:	168.06	-1994	832	15854	571	113	-255	-3466	-1813	5546
D:	169.08	-1994	832	15854	571	113	-255	-3466	-1813	5546
D:	170.21	-1994	832	15854	571	144	-335	-3466	-1813	5546
D:	171.32	-1858	890	15816	633	144	-335	-3466	-1813	5546
D:	172.22	-1858	890	15816	633	144	-335	-3466	-1813	5546
D:	173.28	-1858	890	15816	633	144	-335	-3466	-1813	5546
D:	174.19	-1858	890	15816	633	206	-322	-3466	-1813	5546
D:	175.09	-1854	870	15644	271	206	-322	-3466	-1813	5546
D:	175.99	-1854	870	15644	271	206	-322	-3466	-1813	5546
D:	176.86	-1854	870	15644	271	206	-322	-3466	-1813	5546
D:	177.72	-1854	870	15644	271	206	-322	-3466	-1813	5546
D:	178.75	-1854	870	15644	-10	125	-280	-3466	-1813	5546
D:	179.68	-1984	921	15979	-10	125	-280	-3466	-1813	5546
D:	180.54	-1984	921	15979	-10	125	-280	-3466	-1813	5546
D:	181.41	-1984	921	15979	-10	125	-280	-3466	-1813	5546
D:	182.26	-1984	921	15979	-10	166	-161	-3466	-1813	5546
D:	183.14	-1926	1013	15845	-165	166	-161	-3466	-1813	5546
D:	184.00	-1926	1013	15845	-165	166	-161	-3466	-1813	5546
D:	184.86	-1926	1013	15845	-165	166	-161	-3466	-1813	5546
D:	185.73	-1926	1013	15845	-165	166	-161	-3466	-1813	5546
D:	186.67	-1926	1013	15845	-40	82	-151	-3466	-1813	5546
D:	187.54	-1889	1014	15889	-40	82	-151	-3466	-1813	5546
D:	188.36	-1889	1014	15889	-40	82	-151	-3439	-1803	5593
D:	189.23	-1889	1014	15889	-40	82	-151	-3439	-1803	5593
D:	190.07	-1889	1014	15889	-40	119	-88	-3439	-1803	5593
D:	191.05	-2038	894	15872	31	119	-88	-3439	-1803	5593
D:	192.02	-2038	894	15872	31	119	-88	-3439	-1803	5593
D:	193.06	-2038	894	15872	31	119	-88	-3439	-1803	5593
D:	194.05	-2038	894	15872	31	86	-106	-3439	-1803	5593
D:	195.08	-1753	991	15648	161	86	-106	-3439	-1803	5593
D:	196.01	-1753	991	15648	161	86	-106	-3439	-1803	5593
D:	196.87	-1753	991	15648	161	86	-106	-3439	-1803	5593
D:	197.71	-1753	991	15648	161	86	-106	-3439	-1803	5593
D:	198.55	-1753	991	15648	2	34	-172	-3439	-1803	5593
D:	199.45	-1930	890	16086	2	34	-172	-3439	-1803	5593
D:	200.57	-1930	890	16086	2	34	-172	-3439	-1803	5593
D:	201.56	-1930	890	16086	2	34	-172	-3439	-1803	5593
D:	202.43	-1930	890	16086	-24	65	-189	-3439	-1803	5593
D:	203.29	-1897	768	16128	-24	65	-189	-3439	-1803	5593
