Syntax version=4
Wed May 02 10:43:07 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)
D:	0.07	-1709	11104	11555	3	80	-437	1408	-3167	4414
D:	1.18	-1709	11104	11555	3	80	-437	1408	-3167	4414
D:	2.21	-1709	11104	11555	101	124	-408	1408	-3167	4414
D:	3.16	-1709	11104	11555	101	124	-408	1408	-3167	4414
D:	4.13	-1682	11210	11659	101	124	-408	1408	-3167	4414
D:	5.03	-1682	11210	11659	101	124	-408	1408	-3167	4414
D:	5.91	-1682	11210	11659	101	58	-392	1408	-3167	4414
D:	6.78	-1682	11210	11659	33	58	-392	1413	-3172	4555
D:	7.66	-1682	11184	11703	33	58	-392	1413	-3172	4555
D:	8.54	-1741	11184	11703	33	58	-392	1413	-3172	4555
D:	9.41	-1741	11184	11703	33	58	-392	1413	-3172	4555
D:	10.30	-1741	11184	11703	-32	131	-411	1413	-3172	4555
D:	11.32	-1741	11184	11703	-32	131	-411	1413	-3172	4555
D:	12.22	-1637	11158	11515	-32	131	-411	1413	-3172	4555
D:	13.12	-1637	11158	11515	-32	131	-411	1413	-3172	4555
D:	14.01	-1637	11158	11515	-32	55	-385	1413	-3172	4555
D:	14.89	-1637	11158	11515	52	55	-385	1413	-3172	4555
D:	15.76	-1797	11240	11806	52	55	-385	1413	-3172	4555
D:	16.65	-1797	11240	11806	52	55	-385	1413	-3172	4555
D:	17.54	-1797	11240	11806	52	55	-385	1413	-3172	4555
D:	18.43	-1797	11240	11806	55	64	-394	1413	-3172	4555
D:	19.35	-1797	11240	11806	55	64	-394	1413	-3172	4555
D:	20.24	-1768	11178	11920	55	64	-394	1413	-3172	4555
D:	21.24	-1768	11178	11920	55	64	-394	1413	-3172	4555
D:	22.13	-1768	11178	11920	55	165	-240	1413	-3172	4555
D:	23.02	-1768	11178	11920	33	165	-240	1413	-3172	4555
D:	23.91	-1736	11058	11474	33	165	-240	1413	-3172	4555
D:	24.79	-1736	11058	11474	33	165	-240	1413	-3172	4555
D:	25.67	-1736	11058	11474	33	165	-240	1413	-3172	4555
D:	26.56	-1736	11058	11474	33	70	-254	1413	-3172	4555
D:	27.44	-1736	11058	11474	33	70	-254	1408	-3163	4515
D:	28.33	-1854	11276	11910	33	70	-254	1408	-3163	4515
D:	29.20	-1854	11276	11910	33	70	-254	1408	-3163	4515
D:	30.11	-1854	11276	11910	33	38	-190	1408	-3163	4515
D:	30.99	-1854	11276	11910	10	38	-190	1408	-3163	4515
D:	31.84	-1681	11182	11794	10	38	-190	1408	-3163	4515
D:	32.81	-1681	11182	11794	10	38	-190	1408	-3163	4515
D:	33.78	-1681	11182	11794	10	-48	-201	1408	-3163	4515
D:	34.66	-1681	11182	11794	78	-48	-201	1408	-3163	4515
D:	35.55	-1681	11182	11794	78	-48	-201	1408	-3163	4515
D:	36.49	-1630	11128	11587	78	-48	-201	1408	-3163	4515
D:	37.48	-1630	11128	11587	78	-48	-201	1408	-3163	4515
D:	38.37	-1630	11128	11587	23	-111	-132	1408	-3163	4515
D:	39.30	-1630	11128	11587	23	-111	-132	1408	-3163	4515
D:	40.25	-1753	11231	11835	23	-111	-132	1408	-3163	4515
D:	41.35	-1753	11231	11835	23	-111	-132	1408	-3163	4515
D:	42.28	-1753	11231	11835	68	-116	-98	1408	-3163	4515
D:	43.25	-1753	11231	11835	68	-116	-98	1408	-3163	4515
D:	44.12	-1707	11154	11563	68	-116	-98	1408	-3163	4515
D:	45.02	-1707	11154	11563	68	-116	-98	1408	-3163	4515
D:	45.89	-1707	11154	11563	68	-69	-51	1408	-3163	4515
D:	46.79	-1707	11154	11563	137	-69	-51	1417	-3185	4499
D:	47.67	-1707	11133	11760	137	-69	-51	1417	-3185	4499
