Syntax version=4
Wed May 02 08:30:03 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z	imu_status	imu_temp
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)	(0x20000120,1)	(0x2000023c,3)
D:	0.07	-1906	-473	-16141	-31	69	-55	-1287	-171	-3288	3	42
D:	1.96	-1996	-362	-16297	-31	69	-55	-1287	-171	-3288	0	42
D:	3.60	-1996	-362	-16297	-113	15	-42	-1287	-171	-3288	1	42
D:	5.18	-1766	-323	-16322	-113	15	-42	-1271	-147	-3116	0	42
D:	6.84	-1766	-323	-16322	-113	15	-42	-1271	-147	-3116	2	42
D:	8.44	-1766	-323	-16322	-141	13	-23	-1271	-147	-3116	3	42
D:	10.03	-1749	-80	-16220	-141	13	-23	-1271	-147	-3116	0	42
D:	11.63	-1749	-80	-16220	-167	58	56	-1271	-147	-3116	1	42
D:	13.28	-1622	-501	-16439	-167	58	56	-1271	-147	-3116	0	42
D:	14.84	-1622	-501	-16439	-167	58	56	-1271	-147	-3116	2	42
D:	16.44	-1622	-501	-16439	-173	0	-28	-1271	-147	-3116	3	42
D:	18.00	-1598	-273	-16061	-173	0	-28	-1271	-147	-3116	0	42
D:	19.57	-1598	-273	-16061	-151	37	-10	-1271	-147	-3116	1	42
D:	21.24	-1381	-443	-16246	-151	37	-10	-1271	-147	-3116	0	42
D:	23.13	-1381	-443	-16246	-151	255	-46	-1271	-147	-3116	1	41
D:	24.75	-1381	-443	-16246	-122	255	-46	-1280	-159	-3333	3	41
D:	26.32	-1421	-513	-16545	-122	255	-46	-1280	-159	-3333	2	41
D:	27.88	-1421	-513	-16545	-71	53	-68	-1280	-159	-3333	1	41
D:	29.54	-1645	-457	-16280	-71	53	-68	-1280	-159	-3333	0	41
D:	31.18	-1645	-457	-16280	-71	102	-57	-1280	-159	-3333	1	41
D:	32.74	-1645	-457	-16280	-49	102	-57	-1280	-159	-3333	3	41
D:	34.32	-1757	-391	-16845	-49	102	-57	-1280	-159	-3333	2	41
D:	35.91	-1757	-391	-16845	-108	-43	-100	-1280	-159	-3333	1	41
D:	37.63	-1854	-303	-16183	-108	-43	-100	-1280	-159	-3333	0	41
D:	39.20	-1854	-303	-16183	-108	-91	-158	-1280	-159	-3333	1	41
D:	40.83	-1854	-303	-16183	-97	-91	-158	-1280	-159	-3333	3	41
D:	42.36	-1874	-294	-16481	-97	-91	-158	-1280	-159	-3333	2	41
D:	44.05	-1874	-294	-16481	50	-55	-10	-1272	-157	-3516	1	41
D:	45.62	-1944	-238	-16367	50	-55	-10	-1272	-157	-3516	0	42
D:	47.21	-1944	-238	-16367	50	19	-35	-1272	-157	-3516	1	42
D:	48.84	-1944	-238	-16367	77	19	-35	-1272	-157	-3516	3	42
D:	50.44	-1723	-314	-16292	77	19	-35	-1272	-157	-3516	2	42
D:	52.00	-1723	-314	-16292	-8	60	-79	-1272	-157	-3516	1	42
