Syntax version=4
Wed May 02 10:41:51 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)
D:	0.06	-1791	170	16035	41	192	-27	1539	621	5554
D:	1.06	-1791	170	16035	41	192	-27	1539	621	5554
D:	2.00	-1791	170	16035	60	157	-60	1539	621	5554
D:	2.90	-1791	170	16035	60	157	-60	1539	621	5554
D:	3.79	-1788	82	15766	60	157	-60	1539	621	5554
D:	4.69	-1788	82	15766	60	157	-60	1539	621	5554
D:	5.59	-1788	82	15766	60	52	-73	1539	621	5554
D:	6.74	-1788	82	15766	33	52	-73	1539	621	5554
D:	7.73	-1734	120	15862	33	52	-73	1539	621	5554
D:	8.63	-1734	120	15862	33	52	-73	1539	621	5554
D:	9.58	-1734	120	15862	33	71	-79	1539	621	5554
D:	10.48	-1734	120	15862	35	71	-79	1539	621	5554
D:	11.38	-1711	151	15462	35	71	-79	1539	621	5554
D:	12.27	-1711	151	15462	35	71	-79	1539	621	5554
D:	13.15	-1711	151	15462	35	71	-79	1539	621	5554
D:	14.13	-1711	151	15462	-59	43	-132	1539	621	5554
D:	15.06	-1711	151	15462	-59	43	-132	1539	621	5554
D:	16.10	-1789	99	15713	-59	43	-132	1539	621	5554
D:	17.16	-1789	99	15713	-59	43	-132	1539	621	5554
D:	18.12	-1789	99	15713	-16	2	1	1539	621	5554
D:	19.06	-1789	99	15713	-16	2	1	1556	598	5440
D:	20.00	-1841	117	15894	-16	2	1	1556	598	5440
D:	20.88	-1841	117	15894	-16	2	1	1556	598	5440
D:	21.76	-1841	117	15894	-16	2	-80	1556	598	5440
D:	22.64	-1841	117	15894	-32	2	-80	1556	598	5440
D:	23.58	-1623	136	15474	-32	2	-80	1556	598	5440
D:	24.48	-1623	136	15474	-32	2	-80	1556	598	5440
D:	25.38	-1623	136	15474	-32	2	-80	1556	598	5440
D:	26.28	-1623	136	15474	-30	-70	-70	1556	598	5440
D:	27.29	-1623	80	15689	-30	-70	-70	1556	598	5440
D:	28.27	-1815	80	15689	-30	-70	-70	1556	598	5440
D:	29.17	-1815	80	15689	-30	-70	-70	1556	598	5440
D:	30.13	-1815	80	15689	-97	-105	-104	1556	598	5440
D:	31.02	-1815	80	15689	-97	-105	-104	1556	598	5440
D:	31.90	-1613	56	15848	-97	-105	-104	1556	598	5440
D:	32.78	-1613	56	15848	-97	-105	-104	1556	598	5440
D:	33.67	-1613	56	15848	-97	-120	-55	1556	598	5440
D:	34.58	-1613	56	15848	-120	-120	-55	1556	598	5440
D:	35.61	-1685	120	15914	-120	-120	-55	1556	598	5440
D:	36.61	-1685	120	15914	-120	-120	-55	1556	598	5440
D:	37.58	-1685	120	15914	-120	-187	-22	1556	598	5440
D:	38.53	-1685	120	15914	-125	-187	-22	1543	613	5570
D:	39.55	-1726	202	15968	-125	-187	-22	1543	613	5570
D:	40.47	-1726	202	15968	-125	-187	-22	1543	613	5570
D:	41.35	-1726	202	15968	-125	-187	-22	1543	613	5570
D:	42.20	-1726	202	15968	26	-148	-127	1543	613	5570
D:	43.11	-1726	202	15968	26	-148	-127	1543	613	5570
D:	44.00	-1755	196	16002	26	-148	-127	1543	613	5570
D:	44.89	-1755	196	16002	26	-148	-127	1543	613	5570
D:	45.77	-1755	196	16002	-230	-176	-100	1543	613	5570
D:	46.67	-1755	196	16002	-142	-176	-100	1543	613	5570
D:	47.57	-1778	47	15853	-142	-176	-100	1543	613	5570
D:	48.47	-1778	47	15853	-142	-176	-100	1543	613	5570
D:	49.34	-1778	47	15853	-142	-176	-100	1543	613	5570
D:	50.22	-1778	47	15853	-105	-262	4	1543	613	5570
D:	51.13	-1778	47	15853	-105	-262	4	1543	613	5570
D:	52.06	-1763	129	15769	-105	-262	4	1543	613	5570
D:	53.00	-1763	129	15769	-105	-262	4	1543	613	5570
D:	54.03	-1763	129	15769	-100	-214	-239	1543	613	5570
D:	55.08	-1763	129	15769	-100	-214	-239	1543	613	5570
D:	56.01	-1933	110	15836	-100	-214	-239	1543	613	5570
D:	56.89	-1933	110	15836	-100	-214	-239	1543	613	5570
D:	57.84	-1933	110	15836	-75	-335	10	1543	613	5570
D:	58.88	-1933	110	15836	-75	-335	10	1543	613	5570
D:	59.80	-1731	112	16058	-75	-335	10	1543	613	5570
D:	60.69	-1731	112	16058	-75	-335	10	1543	613	5570
D:	61.63	-1731	112	16058	-75	-290	-18	1543	613	5570
D:	62.57	-1731	112	16058	-210	-290	-18	1557	608	5425
D:	63.46	-1693	46	15721	-210	-290	-18	1557	608	5425
D:	64.35	-1693	46	15721	-210	-290	-18	1557	608	5425
D:	65.23	-1693	46	15721	-210	-290	-18	1557	608	5425
