Syntax version=4
Wed May 02 13:32:13 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z	Roll	Pitch	Yaw
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)	(0x200004dc,6)	(0x200005c4,6)	(0x20000484,6)
D:	0.09	-1715	-757	-16184	-24	89	-31	2642	-349	-4871	-177.327209	6.042614	-2.206537
D:	3.91	-1745	-797	-16259	49	18	-29	2650	-374	-4842	-177.327209	6.118721	-2.479248
D:	7.68	-1745	-797	-16259	12	139	-24	2650	-374	-4842	-177.198883	6.254119	-2.442341
D:	11.30	-1850	-832	-16861	4	81	2	2650	-374	-4842	-177.180267	6.300707	-2.822901
D:	14.93	-1792	-729	-16214	-108	5	-160	2650	-374	-4842	-177.430878	6.275082	-2.534900
D:	18.74	-1813	-795	-16469	22	61	-214	2650	-374	-4842	-177.241562	6.108919	-2.376081
D:	22.58	-1744	-817	-16275	-64	108	-200	2650	-374	-4842	-177.131409	6.287468	-0.656844
D:	26.41	-1806	-1006	-16361	-88	194	-99	2642	-352	-5129	-176.486649	5.862305	-2.283097
D:	29.90	-1713	-735	-16668	-88	176	-108	2642	-352	-5129	-177.480331	5.862305	-1.899083
D:	33.54	-1896	-776	-16237	-67	176	-108	2642	-352	-5129	-177.269043	6.652956	-1.940992
D:	37.30	-1681	-823	-16456	-7	115	-118	2642	-352	-5129	-177.142136	5.825542	-1.734152
D:	40.93	-1660	-725	-16257	-60	109	-20	2642	-352	-5129	-177.451767	5.824680	-2.796032
D:	44.70	-1793	-777	-16164	65	16	-56	2637	-375	-4978	-177.253143	6.322633	-2.448200
D:	48.54	-1848	-734	-16749	-16	20	-30	2637	-375	-4978	-177.495941	6.290455	-2.831912
D:	52.54	-1942	-737	-16629	202	125	8	2637	-375	-4978	-177.467545	6.654776	-2.761485
D:	56.36	-1856	-764	-16439	-47	54	24	2637	-375	-4978	-177.344330	6.434847	-2.584024
D:	60.09	-1781	-731	-16516	-76	76	-24	2637	-375	-4978	-177.470963	6.148905	-2.802868
D:	63.92	-1621	-819	-16394	-92	135	61	2639	-361	-4991	-177.470963	5.640095	-2.048618
D:	67.52	-1621	-819	-16394	-77	199	6	2639	-361	-4991	-177.145264	5.897571	-2.289539
D:	71.22	-1717	-783	-16604	-98	138	27	2639	-361	-4991	-177.305313	6.327781	-1.973831
D:	74.83	-1807	-820	-16275	-64	148	12	2639	-361	-4991	-177.120880	6.065296	-2.189126
D:	78.38	-1765	-799	-16592	-67	156	-2	2639	-361	-4991	-177.248230	6.737069	-2.457404
D:	81.90	-1938	-733	-16390	-67	62	-12	2639	-361	-4991	-177.444534	6.737031	-2.445773
D:	86.10	-1658	-799	-16183	-50	80	-40	2647	-385	-5069	-177.178650	5.842830	-2.356446
D:	89.74	-1585	-835	-16505	-33	80	-40	2647	-385	-5069	-177.109039	5.478578	-2.328779
D:	93.44	-1697	-597	-16351	-70	-10	-24	2647	-385	-5069	-177.914230	5.921525	-3.621323
D:	97.31	-1513	-828	-16741	-59	91	-98	2647	-385	-5069	-177.173721	5.158068	-2.414297
D:	101.12	-1793	-807	-16454	73	-5	8	2647	-385	-5069	-177.197342	6.211784	-1.837541
D:	104.86	-1881	-699	-16304	11	135	52	2644	-356	-5170	-177.550308	6.575351	-2.387177
D:	108.41	-1672	-832	-16209	-56	23	51	2644	-356	-5170	-177.066849	5.881862	-1.640099
D:	112.00	-1740	-803	-16216	32	248	-12	2644	-356	-5170	-177.170303	6.117228	-1.798163
D:	115.82	-1665	-801	-16670	-89	6	21	2644	-356	-5170	-177.170303	5.697425	-1.956761
D:	119.61	-1665	-801	-16670	-250	151	-31	2644	-356	-5170	-177.254272	6.395401	-2.054977
D:	123.20	-1835	-762	-16354	25	96	-9	2642	-365	-4885	-177.337509	6.002441	-1.213159
D:	126.85	-1728	-1002	-16404	-61	16	-34	2642	-365	-4885	-176.509766	5.978941	-2.568598
D:	130.52	-1746	-764	-16654	-34	110	-62	2642	-365	-4885	-177.378632	6.134120	-2.606098
D:	134.29	-1763	-743	-16388	222	6	37	2642	-365	-4885	-177.409332	6.516127	-2.572571
D:	138.31	-1915	-761	-16749	48	25	-44	2642	-365	-4885	-177.403763	6.569883	-3.048552
D:	142.01	-1883	-653	-16337	5	155	-22	2642	-365	-4885	-177.716309	6.128201	-1.799979
D:	145.99	-1753	-843	-16307	23	82	19	2642	-355	-4946	-177.045898	6.127786	-2.059184
D:	149.65	-1701	-794	-16263	49	82	19	2653	-355	-4946	-177.210129	5.964164	-2.127245
D:	153.29	-1781	-785	-16381	-37	99	-40	2653	-355	-4946	-177.261642	6.198152	-2.127245
D:	156.81	-1871	-857	-16448	11	131	-40	2653	-355	-4946	-177.022598	6.481114	-1.741604
D:	160.38	-1923	-798	-16337	-4	90	-9	2653	-355	-4946	-177.208771	6.705572	-2.018708
D:	164.06	-1945	-755	-16557	35	97	-51	2653	-355	-4946	-177.394348	6.693304	-2.305307
D:	167.92	-1788	-829	-16408	-42	61	34	2642	-390	-4966	-177.112869	6.211375	-2.513139
D:	171.74	-1788	-829	-16408	2	48	-62	2642	-390	-4966	-177.112869	6.159607	-2.469099
D:	175.44	-1778	-840	-16454	49	97	-63	2642	-390	-4966	-177.082718	5.968881	-2.948712
D:	179.16	-1686	-739	-16109	120	141	-17	2642	-390	-4966	-177.378632	6.048948	-2.641972
D:	182.82	-1729	-802	-16297	43	128	-55	2642	-390	-4966	-177.187881	5.926090	-2.734409
D:	186.41	-1724	-801	-16590	-59	180	-8	2642	-390	-4966	-177.241028	6.846740	-2.555574
D:	189.99	-1938	-673	-16127	-59	146	-137	2645	-351	-4965	-177.615601	6.846740	-2.267312
D:	193.54	-1674	-761	-16646	-19	146	-137	2645	-351	-4965	-177.387665	5.736843	-2.256399
D:	197.11	-1720	-829	-16561	48	114	-86	2645	-351	-4965	-177.139542	5.922205	-1.864185
D:	200.67	-1815	-765	-16218	62	151	3	2645	-351	-4965	-177.304611	6.378710	-2.100319
D:	204.46	-1697	-778	-16580	-94	60	11	2645	-351	-4965	-177.318634	5.837793	-2.759949
D:	208.21	-1916	-787	-16192	-81	166	-17	2653	-384	-4950	-177.222610	6.740746	-2.549410
D:	211.87	-1650	-757	-16179	13	55	-28	2653	-384	-4950	-177.222610	5.816974	-2.773599
D:	215.65	-1650	-757	-16179	-53	105	-41	2653	-384	-4950	-177.326370	6.642657	-2.442714
D:	219.44	-1919	-821	-16458	-51	103	4	2653	-384	-4950	-177.149414	6.201363	-2.619999
D:	223.06	-1785	-791	-16409	-47	35	-26	2653	-384	-4950	-177.245407	5.982211	-4.145791
D:	226.62	-1729	-517	-16492	37	-7	-57	2653	-384	-4950	-178.209702	6.384448	-2.052529
D:	230.30	-1829	-837	-16325	37	-2	-5	2632	-359	-4797	-177.070160	5.666263	-2.649390
D:	233.93	-1646	-745	-16569	32	-9	-10	2632	-359	-4797	-177.430740	5.667749	-2.468338
D:	237.73	-1886	-759	-16368	-4	-9	-10	2632	-359	-4797	-177.350266	6.566110	-2.185204
D:	241.48	-1872	-827	-16630	70	104	-50	2632	-359	-4797	-177.158279	6.414943	-2.179598
D:	245.03	-1889	-773	-16514	74	-1	27	2632	-359	-4797	-177.325241	6.518691	-2.191285
D:	248.89	-1910	-781	-16297	-11	0	-43	2648	-354	-4949	-177.261536	6.677145	-2.084152
D:	252.82	-1904	-823	-16438	50	113	52	2648	-354	-4949	-177.139008	6.599082	-1.898522
D:	256.49	-1788	-725	-16294	68	27	-58	2648	-354	-4949	-177.457535	6.256263	-2.412432
D:	260.03	-1701	-795	-16565	-11	-47	-35	2648	-354	-4949	-177.257553	5.856426	-2.121944
D:	263.62	-1701	-795	-16565	-2	51	19	2648	-354	-4949	-177.257553	6.587393	-2.093919
D:	267.15	-1896	-785	-16400	38	166	76	2660	-342	-4861	-177.264801	6.631603	-1.880047
D:	270.92	-1879	-786	-16143	186	138	39	2660	-342	-4861	-177.217712	6.331656	-1.854936
D:	274.59	-1829	-809	-16464	110	143	29	2660	-342	-4861	-177.192123	6.549395	-2.343413
D:	278.18	-1877	-709	-16334	110	52	-76	2660	-342	-4861	-177.519791	6.411713	-2.028994
D:	281.88	-1851	-775	-16454	-14	52	-76	2660	-342	-4861	-177.308533	6.411669	-2.130497
D:	285.47	-1846	-751	-16353	51	57	24	2660	-342	-4861	-177.375793	6.434006	-2.439018
D:	289.02	-1855	-786	-16169	127	-6	13	2648	-368	-5037	-177.222183	6.537226	-2.197422
D:	292.62	-1892	-759	-16299	56	111	-9	2648	-368	-5037	-177.339035	6.614394	-2.376518
D:	296.16	-1866	-728	-16281	97	157	86	2648	-368	-5037	-177.444962	6.531984	-2.548100
D:	299.74	-1866	-728	-16281	64	104	57	2648	-368	-5037	-177.444962	5.931106	-2.448747
D:	303.30	-1707	-759	-16414	100	102	149	2648	-368	-5037	-177.357712	6.435864	-2.184431
D:	307.31	-1846	-798	-16346	123	135	9	2648	-317	-4983	-177.210312	6.159640	-1.550401
D:	311.05	-1756	-754	-16254	111	21	85	2652	-317	-4983	-177.349258	5.806763	-1.387591
D:	314.71	-1692	-803	-16619	75	52	48	2652	-317	-4983	-177.238937	6.081078	-2.093816
D:	318.32	-1751	-663	-16423	63	-16	15	2652	-317	-4983	-177.693451	6.248320	-1.255656
D:	322.06	-1772	-802	-16165	63	59	47	2652	-317	-4983	-177.164917	6.374844	-1.959778
D:	325.62	-1819	-678	-16262	107	59	47	2652	-317	-4983	-177.617844	6.377033	-1.959778
D:	329.16	-1813	-765	-16224	75	102	-18	2652	-317	-4983	-177.305603	6.369407	-2.300887
D:	332.76	-1664	-884	-16674	71	48	58	2651	-361	-4940	-176.970444	5.691253	-1.811502
D:	336.53	-1795	-804	-16121	80	14	119	2651	-361	-4940	-177.150101	6.345819	-2.060588
D:	340.11	-1705	-746	-16294	118	-10	54	2651	-361	-4940	-177.383850	5.967646	-2.447349
D:	343.67	-1705	-746	-16294	67	58	34	2651	-361	-4940	-177.383850	6.043500	-2.486959
D:	347.29	-1734	-741	-16362	40	4	21	2651	-361	-4940	-177.412186	6.191268	-2.652880
D:	350.82	-1782	-711	-16412	23	-6	-12	2644	-340	-4994	-177.524628	6.494143	-1.551210
D:	354.71	-1835	-817	-16100	36	20	40	2644	-340	-4994	-177.100220	6.392904	-2.530756
