Syntax version=4
Wed Apr 04 08:56:57 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	time(ms)	(0x2000109c,6)	(0x200010be,2)
D:	0.10	0.000000	0
D:	0.81	0.000000	0
D:	1.50	0.000000	0
D:	2.17	0.000000	0
D:	2.78	0.000000	0
D:	3.46	0.000000	0
D:	4.07	0.000000	0
D:	4.66	0.000000	0
D:	5.23	0.000000	0
D:	5.82	0.000000	0
D:	6.43	0.000000	0
D:	7.02	0.000000	0
D:	7.60	0.000000	0
D:	8.27	0.000000	0
D:	8.97	0.000000	0
D:	9.65	0.000000	0
D:	10.33	0.000000	0
D:	11.02	0.000000	0
D:	11.65	0.000000	0
D:	12.28	0.000000	0
D:	12.93	0.000000	0
D:	13.59	0.000000	0
D:	14.19	0.000000	0
D:	14.80	0.000000	0
D:	15.44	0.000000	0
D:	16.08	0.000000	0
D:	16.69	0.000000	0
D:	17.29	0.000000	0
D:	17.90	0.000000	0
D:	18.57	0.000000	0
D:	19.18	0.000000	0
D:	19.80	0.000000	0
D:	20.44	0.000000	0
D:	21.03	0.000000	0
D:	21.65	0.000000	0
D:	22.25	0.000000	0
D:	22.85	0.000000	0
D:	23.45	0.000000	0
D:	24.04	0.000000	0
D:	24.65	0.000000	0
D:	25.25	0.000000	0
D:	25.89	0.000000	0
D:	26.50	0.000000	0
D:	27.10	0.000000	0
D:	27.68	0.000000	0
D:	28.27	0.000000	0
D:	28.88	0.000000	0
D:	29.49	0.000000	0
D:	30.09	0.000000	0
D:	30.70	0.000000	0
D:	31.30	0.000000	0
D:	31.91	0.000000	0
D:	32.63	0.000000	0
D:	33.31	0.000000	0
D:	33.94	0.000000	0
D:	34.57	0.000000	0
D:	35.17	0.000000	0
D:	35.77	0.000000	0
D:	36.44	0.000000	0
D:	37.03	0.000000	0
D:	37.65	0.000000	0
D:	38.23	0.000000	0
D:	38.85	0.000000	0
D:	39.45	0.000000	0
D:	40.06	0.000000	0
D:	40.68	0.000000	0
D:	41.29	0.000000	0
D:	41.90	0.000000	0
D:	42.56	0.000000	0
D:	43.16	0.000000	0
D:	43.77	0.000000	0
D:	44.34	0.000000	0
D:	44.98	0.000000	0
D:	45.56	0.000000	0
D:	46.16	0.000000	0
D:	46.77	0.000000	0
D:	47.44	0.000000	0
D:	48.02	0.000000	0
D:	48.60	0.000000	0
D:	49.19	0.000000	0
D:	49.89	0.000000	0
D:	50.56	0.000000	0
D:	51.13	0.000000	0
D:	51.73	0.000000	0
D:	52.36	0.000000	0
D:	53.04	0.000000	0
D:	53.64	0.000000	0
D:	54.26	0.000000	0
D:	54.85	0.000000	0
D:	55.44	0.000000	0
D:	56.03	0.000000	0
D:	56.64	0.000000	0
D:	57.23	0.000000	0
D:	57.84	0.000000	0
D:	58.43	0.000000	0
D:	59.28	0.000000	0
D:	59.87	0.000000	0
D:	60.45	0.000000	0
D:	61.04	0.000000	0
D:	61.65	0.000000	0
D:	62.25	0.000000	0
D:	62.85	0.000000	0
D:	63.45	0.000000	0
D:	64.05	0.000000	0
D:	64.65	0.000000	0
D:	65.25	0.000000	0
D:	65.88	0.000000	0
D:	66.49	0.000000	0
D:	67.09	0.000000	0
D:	67.68	0.000000	0
D:	68.28	0.000000	0
D:	68.86	0.000000	0
D:	69.49	0.000000	0
D:	70.09	0.000000	0
D:	70.71	0.000000	0
D:	71.31	0.000000	0
D:	71.90	0.000000	0
D:	72.49	0.000000	0
D:	73.10	0.000000	0
D:	73.70	0.000000	0
D:	74.30	0.000000	0
D:	74.90	0.000000	0
D:	75.57	0.000000	0
D:	76.16	0.000000	0
D:	76.77	0.000000	0
D:	77.45	0.000000	0
D:	78.05	0.000000	0
D:	78.63	0.000000	0
D:	79.20	0.000000	0
D:	79.78	0.000000	0
D:	80.34	0.000000	0
D:	80.91	0.000000	0
D:	81.56	0.000000	0
D:	82.12	0.000000	0
D:	82.70	0.000000	0
D:	83.27	0.000000	0
D:	83.85	0.000000	0
D:	84.43	0.000000	0
D:	85.00	0.000000	0
D:	85.58	0.000000	0
D:	86.14	0.000000	0
D:	86.73	0.000000	0
D:	87.30	0.000000	0
D:	87.89	0.000000	0
D:	88.49	0.000000	0
D:	89.05	0.000000	0
D:	89.62	0.000000	0
D:	90.19	0.000000	0
D:	90.77	0.000000	0
D:	91.34	0.000000	0
D:	91.92	0.000000	0
D:	92.58	0.000000	0
D:	93.16	0.000000	0
D:	93.73	0.000000	0
D:	94.44	0.000000	0
D:	95.02	0.000000	0
D:	95.61	0.000000	0
D:	96.19	0.000000	0
D:	96.78	0.000000	0
D:	97.46	0.000000	0
D:	98.11	0.000000	0
D:	98.72	0.000000	0
D:	99.33	0.000000	0
D:	99.94	0.000000	0
D:	100.60	0.000000	0
D:	101.22	0.000000	0
D:	101.83	0.000000	0
D:	102.44	0.000000	0
D:	103.03	0.000000	0
D:	103.65	0.000000	0
D:	104.25	0.000000	0
D:	104.85	0.000000	0
D:	105.45	0.000000	0
D:	106.05	0.000000	0
D:	106.65	0.000000	0
D:	107.25	0.000000	0
D:	107.85	0.000000	0
D:	108.46	0.000000	0
D:	109.07	0.000000	0
D:	109.66	0.000000	0
D:	110.25	0.000000	0
D:	110.86	0.000000	0
D:	111.49	0.000000	0
D:	112.10	0.000000	0
D:	112.70	0.000000	0
D:	113.29	0.000000	0
D:	113.91	0.000000	0
D:	114.58	0.000000	0
D:	115.20	0.000000	0
D:	115.87	0.000000	0
D:	116.61	0.000000	0
D:	117.21	0.000000	0
D:	117.82	0.000000	0
D:	118.44	0.000000	0
D:	119.03	0.000000	0
D:	119.64	0.000000	0
D:	120.24	0.000000	0
D:	120.83	0.000000	0
D:	121.44	0.000000	0
D:	122.03	0.000000	0
D:	122.65	0.000000	0
D:	123.25	0.000000	0
D:	123.85	0.000000	0
D:	124.44	0.000000	0
D:	126.36	0.000000	0
D:	126.98	0.000000	0
