Syntax version=4
Wed Apr 04 09:16:38 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	time(ms)	(0x2000109c,6)	(0x200010be,2)
D:	0.12	0.106307	0
D:	1.06	0.106307	0
D:	1.80	0.106307	0
D:	2.49	0.106307	0
D:	3.16	0.106307	0
D:	3.88	0.106307	0
D:	4.54	0.106307	0
D:	5.18	0.106307	0
D:	5.77	0.106307	0
D:	6.36	0.106307	0
D:	7.02	0.106307	0
D:	7.66	0.106307	0
D:	8.33	0.106307	0
D:	9.03	0.106307	0
D:	9.66	0.106307	0
D:	10.28	0.106307	0
D:	10.87	0.106307	0
D:	11.46	0.106307	0
D:	12.07	0.106307	0
D:	12.67	0.106307	0
D:	13.27	0.106307	0
D:	13.87	0.106307	0
D:	14.46	0.106307	0
D:	15.07	0.106307	0
D:	15.67	0.106307	0
D:	16.27	0.106307	0
D:	16.87	0.106307	0
D:	17.46	0.106307	0
D:	18.07	0.106307	0
D:	18.67	0.106307	0
D:	19.27	0.106307	0
D:	19.87	0.106307	0
D:	20.46	0.106307	0
D:	21.05	0.106307	0
D:	21.64	0.106307	0
D:	22.25	0.106307	0
D:	22.86	0.106307	0
D:	23.44	0.106307	0
D:	24.05	0.106307	0
D:	25.14	0.106307	0
D:	25.77	0.106307	0
D:	26.36	0.106307	0
D:	26.99	0.106307	0
D:	27.59	0.106307	0
D:	28.21	0.106307	0
D:	28.87	0.106307	0
D:	29.47	0.106307	0
D:	30.08	0.106307	0
D:	30.68	0.106307	0
D:	31.31	0.106307	0
D:	31.92	0.106307	0
D:	32.53	0.106307	0
D:	33.13	0.106307	0
D:	33.73	0.106307	0
D:	34.33	0.106307	0
D:	35.01	0.106307	0
D:	35.61	0.106307	0
D:	36.23	0.106307	0
D:	36.87	0.106307	0
D:	37.47	0.106307	0
D:	38.08	0.106307	0
D:	38.68	0.106307	0
D:	39.28	0.106307	0
D:	39.88	0.106307	0
D:	40.49	0.106307	0
D:	41.12	0.106307	0
D:	41.73	0.106307	0
D:	42.34	0.106307	0
D:	43.01	0.106307	0
D:	43.61	0.106307	0
D:	44.23	0.106307	0
D:	44.87	0.106307	0
D:	45.47	0.106307	0
D:	46.08	0.106307	0
D:	46.68	0.106307	0
D:	47.31	0.106307	0
D:	47.92	0.106307	0
D:	48.52	0.106307	0
D:	49.13	0.106307	0
D:	49.74	0.106307	0
D:	50.36	0.106307	0
D:	51.01	0.106307	0
D:	51.61	0.106307	0
D:	52.23	0.106307	0
D:	52.87	0.106307	0
D:	53.47	0.106307	0
D:	54.08	0.106307	0
D:	54.68	0.106307	0
D:	55.30	0.106307	0
D:	55.92	0.106307	0
D:	56.52	0.106307	0
D:	57.13	0.106307	0
D:	57.73	0.106307	0
D:	58.36	0.106307	0
D:	59.01	0.106307	0
D:	59.61	0.106307	0
D:	60.34	0.106307	0
D:	61.10	0.106307	0
D:	61.81	0.106307	0
D:	62.52	0.106307	0
D:	63.22	0.106307	0
D:	63.92	0.106307	0
D:	64.63	0.106307	0
D:	65.34	0.106307	0
D:	66.09	0.106307	0
D:	66.79	0.106307	0
D:	67.50	0.106307	0
D:	68.22	0.106307	0
D:	68.93	0.106307	0
D:	69.63	0.106307	0
D:	70.34	0.106307	0
D:	71.10	0.106307	0
D:	71.80	0.106307	0
D:	72.50	0.106307	0
D:	73.21	0.106307	0
D:	73.92	0.106307	0
D:	74.62	0.106307	0
D:	75.35	0.106307	0
D:	76.10	0.106307	0
D:	76.91	0.106307	0
D:	77.65	0.106307	0
D:	78.38	0.106307	0
D:	79.10	0.106307	0
D:	79.89	0.106307	0
D:	80.62	0.106307	0
D:	81.35	0.106307	0
D:	82.10	0.106307	0
D:	82.89	0.106307	0
D:	83.63	0.106307	0
D:	84.35	0.106307	0
D:	85.10	0.106307	0
D:	85.89	0.106307	0
D:	86.63	0.106307	0
D:	87.35	0.106307	0
D:	88.10	0.106307	0
D:	88.89	0.106307	0
D:	89.62	0.106307	0
D:	90.35	0.106307	0
D:	91.09	0.106307	0
D:	91.82	0.106307	0
D:	92.64	0.106307	0
D:	96.26	0.106307	0
D:	97.77	0.106307	0
D:	101.87	0.106307	0
D:	103.37	0.106307	0
D:	104.28	0.106307	0
D:	105.22	0.106307	0
