TIME,PID,D0,D1,D2,D3,D4,D5,D6,D7,CRC
0.000000000000000,0x07,0xF4,0x01,0x42,0x74,0x4C,,,,0xBF
0.100488937500000,0x06,0x02,0x00,0x00,0x4C,0x3A,0x74,0xF4,0x01,0x07
0.200972750000000,0x07,0xF0,0x01,0x62,0x74,0x4C,,,,0xA3
0.301461687500000,0x06,0x02,0x00,0x00,0x4C,0x65,0x74,0xF5,0x01,0xDA
0.401950375000000,0x07,0xEA,0x01,0x30,0x74,0x4C,,,,0xDB
0.502439375000000,0x06,0x02,0x00,0x00,0x4C,0x2A,0x74,0xF6,0x01,0x15
0.602928250000000,0x07,0xF5,0x01,0x65,0x74,0x4C,,,,0x9B
0.703417187500000,0x06,0x02,0x00,0x00,0x4C,0x2B,0x74,0xF3,0x01,0x17
0.803905812500000,0x07,0xF2,0x01,0x23,0x74,0x4C,,,,0xE0
0.904394812500000,0x06,0x02,0x00,0x00,0x4C,0x68,0x74,0xF5,0x01,0xD7
1.004883500000000,0x07,0xF6,0x01,0x6A,0x74,0x4C,,,,0x95
1.105367750000000,0x06,0x02,0x00,0x00,0x4C,0x61,0x74,0xF3,0x01,0xE0
1.205859812500000,0x07,0xF2,0x01,0x6A,0x74,0x4C,,,,0x99
1.306344125000000,0x06,0x02,0x00,0x00,0x4C,0x6B,0x74,0xF2,0x01,0xD7
1.406832750000000,0x07,0xE9,0x01,0x5C,0x74,0x4C,,,,0xB0
1.507321687500000,0x06,0x02,0x00,0x00,0x4C,0x56,0x74,0xF3,0x01,0xEB
1.607810687500000,0x07,0xF1,0x01,0x6C,0x74,0x4C,,,,0x98
1.708299687500000,0x06,0x02,0x00,0x00,0x4C,0x6B,0x74,0xE6,0x01,0xE3
1.808788312500000,0x07,0xF2,0x01,0x4F,0x74,0x4C,,,,0xB4
1.909277437500000,0x06,0x02,0x00,0x00,0x4C,0x6D,0x74,0xED,0x01,0xDA
10.048825125000000,0x07,0xB8,0xFF,0xDC,0x73,0x4C,,,,0x63
10.149314125000000,0x06,0x02,0x40,0x00,0x4C,0xA3,0x73,0x46,0x00,0x0E
10.249806000000000,0x07,0xBA,0xFF,0xCD,0x73,0x4C,,,,0x70
10.350290187500001,0x06,0x02,0x40,0x00,0x4C,0xD0,0x73,0x43,0x00,0xE3
10.450778874999999,0x07,0xB4,0xFF,0xC5,0x73,0x4C,,,,0x7E
10.551267812500001,0x06,0x02,0x40,0x00,0x4C,0xBD,0x73,0x45,0x00,0xF4
10.651756812500000,0x07,0xBD,0xFF,0xC5,0x73,0x4C,,,,0x75
10.752245562500001,0x06,0x02,0x40,0x00,0x4C,0xC3,0x73,0x4D,0x00,0xE6
10.852734187499999,0x07,0xBC,0xFF,0xAD,0x73,0x4C,,,,0x8E
10.953223187500001,0x06,0x02,0x40,0x00,0x4C,0xA3,0x73,0x43,0x00,0x11
11.053711812500000,0x07,0xB2,0xFF,0xB7,0x73,0x4C,,,,0x8E
11.154196125000000,0x06,0x02,0x40,0x00,0x4C,0x9A,0x73,0x43,0x00,0x1A
11.254687875000000,0x07,0xBD,0xFF,0x8F,0x73,0x4C,,,,0xAB
11.355176875000000,0x06,0x02,0x40,0x00,0x4C,0xAE,0x73,0x4E,0x00,0xFA
11.455665562500000,0x07,0xBA,0xFF,0xAC,0x73,0x4C,,,,0x91
11.556149812499999,0x06,0x02,0x40,0x00,0x4C,0x7E,0x73,0x44,0x00,0x35
11.656638812500001,0x07,0xB4,0xFF,0x72,0x73,0x4C,,,,0xD1
11.757130000000000,0x06,0x02,0x40,0x00,0x4C,0xA1,0x73,0x46,0x00,0x10
11.857618625000001,0x07,0xBC,0xFF,0x6E,0x73,0x4C,,,,0xCD
11.958102875000000,0x06,0x02,0x40,0x00,0x4C,0x63,0x73,0x48,0x00,0x4C
12.058591562500000,0x07,0xBD,0xFF,0x98,0x73,0x4C,,,,0xA2
12.159080500000000,0x06,0x02,0x40,0x00,0x4C,0x96,0x73,0x41,0x00,0x20
12.259571125000001,0x07,0xB7,0xFF,0x8C,0x73,0x4C,,,,0xB4
12.360060187500000,0x06,0x02,0x40,0x00,0x4C,0x90,0x73,0x45,0x00,0x22
12.460544062500000,0x07,0xBE,0xFF,0x8C,0x73,0x4C,,,,0xAD
12.561033000000000,0x06,0x02,0x40,0x00,0x4C,0x80,0x73,0x44,0x00,0x33
12.661521937500000,0x07,0xB5,0xFF,0x78,0x73,0x4C,,,,0xCA
12.762011687499999,0x06,0x02,0x40,0x00,0x4C,0x84,0x73,0x43,0x00,0x30
12.862500437500000,0x07,0xB5,0xFF,0x84,0x73,0x4C,,,,0xBE
12.962989437499999,0x06,0x02,0x40,0x00,0x4C,0x69,0x73,0x4F,0x00,0x3F
13.063478062500000,0x07,0xBB,0xFF,0x7E,0x73,0x4C,,,,0xBE
13.163962312500001,0x06,0x02,0x40,0x00,0x4C,0x7A,0x73,0x43,0x00,0x3A
13.264454437500000,0x07,0xB4,0xFF,0x5C,0x73,0x4C,,,,0xE7
13.364938625000001,0x06,0x02,0x40,0x00,0x4C,0x52,0x73,0x45,0x00,0x60
13.465427437500001,0x07,0xBE,0xFF,0x74,0x73,0x4C,,,,0xC5
13.565916375000000,0x06,0x02,0x40,0x00,0x4C,0x71,0x73,0x4E,0x00,0x38
13.666405187500001,0x07,0xB5,0xFF,0x40,0x73,0x4C,,,,0x03
13.766894250000000,0x06,0x02,0x40,0x00,0x4C,0x6D,0x73,0x46,0x00,0x44
13.867382937500000,0x07,0xBA,0xFF,0x6A,0x73,0x4C,,,,0xD3
13.967871937500000,0x06,0x02,0x40,0x00,0x4C,0x32,0x73,0x50,0x00,0x75
14.068360562500001,0x07,0xBB,0xFF,0x5F,0x73,0x4C,,,,0xDD
14.168844937499999,0x06,0x02,0x40,0x00,0x4C,0x63,0x73,0x41,0x00,0x53
14.269336937500000,0x07,0xB4,0xFF,0x60,0x73,0x4C,,,,0xE3
14.369825812500000,0x06,0x02,0x40,0x00,0x4C,0x55,0x73,0x45,0x00,0x5D
