rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1524808389532658813,,3,,1524808389,532241106,"""gps_left""",,0,1,50.0655516667,19.9196633333,243.7,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808390558871478,,4,,1524808390,558506011,"""gps_left""",,0,1,50.0655533333,19.919665,243.7,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808391608714060,,5,,1524808391,608243942,"""gps_left""",,0,1,50.0655533333,19.919665,243.7,"[2.3409, 0.0, 0.0, 0.0, 2.3409, 0.0, 0.0, 0.0, 9.3636]",1
1524808392538207777,,6,,1524808392,537740945,"""gps_left""",,0,1,50.0655533333,19.919665,243.7,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1524808393540503098,,7,,1524808393,539911031,"""gps_left""",,0,1,50.0655533333,19.919665,243.7,"[1.5376, 0.0, 0.0, 0.0, 1.5376, 0.0, 0.0, 0.0, 6.1504]",1
1524808394536156843,,8,,1524808394,535784959,"""gps_left""",,0,1,50.0655533333,19.9196666667,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808395544669939,,9,,1524808395,544332027,"""gps_left""",,0,1,50.0655516667,19.9196666667,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808396604378591,,10,,1524808396,603785037,"""gps_left""",,0,1,50.0655516667,19.9196666667,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808397525051597,,11,,1524808397,523905992,"""gps_left""",,0,1,50.0655533333,19.9196666667,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808398516077959,,12,,1524808398,515139102,"""gps_left""",,0,1,50.0655533333,19.9196666667,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808399518087162,,13,,1524808399,517198085,"""gps_left""",,0,1,50.065555,19.919665,243.6,"[2.3409, 0.0, 0.0, 0.0, 2.3409, 0.0, 0.0, 0.0, 9.3636]",1
1524808400554764131,,14,,1524808400,554404973,"""gps_left""",,0,1,50.065555,19.9196633333,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808401617083959,,15,,1524808401,616333007,"""gps_left""",,0,1,50.065555,19.9196616667,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808402530705396,,16,,1524808402,530332088,"""gps_left""",,0,1,50.0655516667,19.91966,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808403520811720,,17,,1524808403,519895076,"""gps_left""",,0,1,50.065515,19.919685,244.0,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808404518339022,,18,,1524808404,517235040,"""gps_left""",,0,1,50.0655566667,19.9196716667,243.9,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808405565976257,,19,,1524808405,565390110,"""gps_left""",,0,1,50.06557,19.9196683333,243.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808406620707702,,20,,1524808406,620016098,"""gps_left""",,0,1,50.0655666667,19.91967,243.5,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808407521514021,,21,,1524808407,520883083,"""gps_left""",,0,1,50.0655766667,19.9196733333,243.3,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808408527611547,,22,,1524808408,526720046,"""gps_left""",,0,1,50.0655866667,19.9196666667,242.9,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808409529818528,,23,,1524808409,528702974,"""gps_left""",,0,1,50.0655816667,19.9196633333,242.8,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808410563879124,,24,,1524808410,563508987,"""gps_left""",,0,1,50.06558,19.9196583333,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808411633112252,,25,,1524808411,632251977,"""gps_left""",,0,1,50.0655716667,19.919655,242.7,"[2.0736, 0.0, 0.0, 0.0, 2.0736, 0.0, 0.0, 0.0, 8.2944]",1
1524808412561004088,,26,,1524808412,560710906,"""gps_left""",,0,1,50.065565,19.9196533333,242.7,"[1.9880999999999998, 0.0, 0.0, 0.0, 1.9880999999999998, 0.0, 0.0, 0.0, 7.952399999999999]",1
1524808413526741153,,27,,1524808413,525981903,"""gps_left""",,0,1,50.0655566667,19.9196466667,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808414540000234,,28,,1524808414,539721965,"""gps_left""",,0,1,50.0655516667,19.9196383333,242.7,"[1.2544000000000002, 0.0, 0.0, 0.0, 1.2544000000000002, 0.0, 0.0, 0.0, 5.017600000000001]",1
1524808415554646154,,29,,1524808415,554213047,"""gps_left""",,0,1,50.0655266667,19.9196483333,242.7,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808416647011818,,30,,1524808416,646641969,"""gps_left""",,0,1,50.0655083333,19.9196483333,242.7,"[1.0816000000000001, 0.0, 0.0, 0.0, 1.0816000000000001, 0.0, 0.0, 0.0, 4.3264000000000005]",1
1524808417562486217,,31,,1524808417,562136888,"""gps_left""",,0,1,50.0655016667,19.9196416667,242.6,"[1.0816000000000001, 0.0, 0.0, 0.0, 1.0816000000000001, 0.0, 0.0, 0.0, 4.3264000000000005]",1
1524808418556429541,,32,,1524808418,556139945,"""gps_left""",,0,1,50.06549,19.9196433333,242.6,"[1.0816000000000001, 0.0, 0.0, 0.0, 1.0816000000000001, 0.0, 0.0, 0.0, 4.3264000000000005]",1
1524808419554895781,,33,,1524808419,554606914,"""gps_left""",,0,1,50.0654816667,19.91964,242.6,"[1.1025, 0.0, 0.0, 0.0, 1.1025, 0.0, 0.0, 0.0, 4.41]",1
1524808420588024077,,34,,1524808420,587625026,"""gps_left""",,0,1,50.0654783333,19.919635,242.3,"[1.0816000000000001, 0.0, 0.0, 0.0, 1.0816000000000001, 0.0, 0.0, 0.0, 4.3264000000000005]",1
1524808421666184342,,35,,1524808421,665816068,"""gps_left""",,0,1,50.0654683333,19.9196316667,242.4,"[1.2544000000000002, 0.0, 0.0, 0.0, 1.2544000000000002, 0.0, 0.0, 0.0, 5.017600000000001]",1
1524808422525510725,,36,,1524808422,524703979,"""gps_left""",,0,1,50.0654583333,19.9196233333,242.3,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808423563085081,,37,,1524808423,562661886,"""gps_left""",,0,1,50.065455,19.9196216667,242.1,"[1.0816000000000001, 0.0, 0.0, 0.0, 1.0816000000000001, 0.0, 0.0, 0.0, 4.3264000000000005]",1
1524808424552899979,,38,,1524808424,552577972,"""gps_left""",,0,1,50.0654466667,19.9196233333,242.0,"[1.0816000000000001, 0.0, 0.0, 0.0, 1.0816000000000001, 0.0, 0.0, 0.0, 4.3264000000000005]",1
1524808425575662830,,39,,1524808425,575408935,"""gps_left""",,0,1,50.0654383333,19.91962,242.0,"[1.1025, 0.0, 0.0, 0.0, 1.1025, 0.0, 0.0, 0.0, 4.41]",1
1524808426650251728,,40,,1524808426,649749040,"""gps_left""",,0,1,50.0654333333,19.919615,242.1,"[1.9880999999999998, 0.0, 0.0, 0.0, 1.9880999999999998, 0.0, 0.0, 0.0, 7.952399999999999]",1
1524808427541808008,,41,,1524808427,541085004,"""gps_left""",,0,1,50.065435,19.919605,242.0,"[1.1881000000000002, 0.0, 0.0, 0.0, 1.1881000000000002, 0.0, 0.0, 0.0, 4.752400000000001]",1
1524808428518646505,,42,,1524808428,517870903,"""gps_left""",,0,1,50.065435,19.9196016667,241.9,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808429523597835,,43,,1524808429,522902965,"""gps_left""",,0,1,50.06543,19.9196,241.8,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808430553862353,,44,,1524808430,553380966,"""gps_left""",,0,1,50.0654066667,19.9196083333,241.9,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808431617612885,,45,,1524808431,617129087,"""gps_left""",,0,1,50.06538,19.9196183333,242.0,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808432542724963,,46,,1524808432,541773080,"""gps_left""",,0,1,50.065365,19.9196133333,242.1,"[1.1881000000000002, 0.0, 0.0, 0.0, 1.1881000000000002, 0.0, 0.0, 0.0, 4.752400000000001]",1
1524808433527271061,,47,,1524808433,526596069,"""gps_left""",,0,1,50.0653533333,19.9195966667,242.2,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808434543933421,,48,,1524808434,542893886,"""gps_left""",,0,1,50.0653433333,19.9195883333,242.1,"[1.1881000000000002, 0.0, 0.0, 0.0, 1.1881000000000002, 0.0, 0.0, 0.0, 4.752400000000001]",1
1524808435550858540,,49,,1524808435,550262928,"""gps_left""",,0,1,50.06533,19.91959,242.1,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808436617366526,,50,,1524808436,616729974,"""gps_left""",,0,1,50.06532,19.9195816667,242.2,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808437517437327,,51,,1524808437,517036914,"""gps_left""",,0,1,50.0652933333,19.9195866667,242.4,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808438517175560,,52,,1524808438,516777038,"""gps_left""",,0,1,50.0652766667,19.91959,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808439525549327,,53,,1524808439,525027990,"""gps_left""",,0,1,50.06527,19.9195883333,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808440560986575,,54,,1524808440,560178041,"""gps_left""",,0,1,50.06526,19.9195933333,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808441619317921,,55,,1524808441,618763923,"""gps_left""",,0,1,50.0652583333,19.9195833333,242.5,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808442549242768,,56,,1524808442,548679113,"""gps_left""",,0,1,50.0652566667,19.91958,242.4,"[2.3716, 0.0, 0.0, 0.0, 2.3716, 0.0, 0.0, 0.0, 9.4864]",1
1524808443517441289,,57,,1524808443,516767978,"""gps_left""",,0,1,50.065255,19.9195766667,242.3,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808444514377239,,58,,1524808444,514029026,"""gps_left""",,0,1,50.06524,19.9195733333,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808445550563368,,59,,1524808445,550069093,"""gps_left""",,0,1,50.065235,19.919565,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808446601506848,,60,,1524808446,600965023,"""gps_left""",,0,1,50.0652266667,19.91956,242.7,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808447522308184,,61,,1524808447,521943092,"""gps_left""",,0,1,50.065225,19.9195566667,242.5,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808448517739351,,62,,1524808448,517096996,"""gps_left""",,0,1,50.06522,19.9195516667,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808449523123774,,63,,1524808449,522737979,"""gps_left""",,0,1,50.0652133333,19.9195483333,242.5,"[2.0448999999999997, 0.0, 0.0, 0.0, 2.0448999999999997, 0.0, 0.0, 0.0, 8.179599999999999]",1
1524808450546182410,,64,,1524808450,545137882,"""gps_left""",,0,1,50.0652033333,19.919545,242.5,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808451615305161,,65,,1524808451,614718914,"""gps_left""",,0,1,50.0651933333,19.9195383333,242.7,"[2.0448999999999997, 0.0, 0.0, 0.0, 2.0448999999999997, 0.0, 0.0, 0.0, 8.179599999999999]",1
1524808452526190148,,66,,1524808452,525779962,"""gps_left""",,0,1,50.0651866667,19.91953,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808453526588323,,67,,1524808453,526119947,"""gps_left""",,0,1,50.06518,19.9195216667,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808454524330806,,68,,1524808454,523643970,"""gps_left""",,0,1,50.06518,19.919515,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808455550195509,,69,,1524808455,549171924,"""gps_left""",,0,1,50.065175,19.9195133333,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808456599955851,,70,,1524808456,599657058,"""gps_left""",,0,1,50.0651466667,19.9195333333,242.7,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808457524943265,,71,,1524808457,524553060,"""gps_left""",,0,1,50.06515,19.9195166667,242.7,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808458515368887,,72,,1524808458,514962911,"""gps_left""",,0,1,50.065135,19.9195183333,242.8,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808459525088997,,73,,1524808459,524569034,"""gps_left""",,0,1,50.06513,19.9195133333,242.8,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808460551317421,,74,,1524808460,550487995,"""gps_left""",,0,1,50.065125,19.9195083333,242.8,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808461604349944,,75,,1524808461,603955984,"""gps_left""",,0,1,50.0651133333,19.9195133333,242.7,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524808462523875153,,76,,1524808462,523524999,"""gps_left""",,0,1,50.0651116667,19.9195066667,242.6,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
