rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1525093792667469343,,18,,1525093792,667087078,"""gps_right""",,1,1,50.0659783333,19.91837,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093793811125849,,19,,1525093793,810883045,"""gps_right""",,1,1,50.0659783333,19.91837,241.2,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093794614294936,,20,,1525093794,614022970,"""gps_right""",,1,1,50.0659783333,19.9183683333,241.3,"[1.8225000000000002, 0.0, 0.0, 0.0, 1.8225000000000002, 0.0, 0.0, 0.0, 7.290000000000001]",1
1525093795621983096,,21,,1525093795,621684074,"""gps_right""",,1,1,50.0659783333,19.9183683333,241.3,"[1.8225000000000002, 0.0, 0.0, 0.0, 1.8225000000000002, 0.0, 0.0, 0.0, 7.290000000000001]",1
1525093796619985842,,22,,1525093796,619688034,"""gps_right""",,1,1,50.0659783333,19.9183683333,241.3,"[1.8225000000000002, 0.0, 0.0, 0.0, 1.8225000000000002, 0.0, 0.0, 0.0, 7.290000000000001]",1
1525093797691638153,,23,,1525093797,691159963,"""gps_right""",,1,1,50.0659783333,19.9183683333,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093798801790968,,24,,1525093798,801104068,"""gps_right""",,1,1,50.0659783333,19.9183683333,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093799624494643,,25,,1525093799,624102115,"""gps_right""",,1,1,50.0659783333,19.9183683333,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093800617129232,,26,,1525093800,616883993,"""gps_right""",,1,1,50.0659783333,19.9183683333,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093801630659853,,27,,1525093801,630259990,"""gps_right""",,1,1,50.0659783333,19.9183666667,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093802645559488,,28,,1525093802,645152091,"""gps_right""",,1,1,50.0659783333,19.9183666667,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093803749587579,,29,,1525093803,749162912,"""gps_right""",,1,1,50.0659783333,19.9183666667,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093804618032824,,30,,1525093804,617786884,"""gps_right""",,1,1,50.0659783333,19.9183666667,241.3,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093805620129746,,31,,1525093805,619790077,"""gps_right""",,1,1,50.0659783333,19.918365,241.4,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093806626101832,,32,,1525093806,625792980,"""gps_right""",,1,1,50.0659783333,19.918365,241.4,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093807662397257,,33,,1525093807,662070035,"""gps_right""",,1,1,50.0659783333,19.918365,241.4,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093808769463417,,34,,1525093808,769117116,"""gps_right""",,1,1,50.0659783333,19.918365,241.4,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093809610888449,,35,,1525093809,610363960,"""gps_right""",,1,1,50.0659783333,19.9183616667,241.4,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1525093810618975933,,36,,1525093810,618701934,"""gps_right""",,1,1,50.0659783333,19.9183583333,241.4,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093811626632101,,37,,1525093811,626231908,"""gps_right""",,1,1,50.0659766667,19.91834,241.6,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1525093812655034893,,38,,1525093812,654469013,"""gps_right""",,1,1,50.0659716667,19.91832,242.2,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1525093813770333717,,39,,1525093813,769979000,"""gps_right""",,1,1,50.0659766667,19.9183033333,243.1,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1525093814631959250,,40,,1525093814,631669044,"""gps_right""",,1,1,50.0659883333,19.9182833333,243.9,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1525093815622825339,,41,,1525093815,622270107,"""gps_right""",,1,1,50.0660083333,19.9182533333,245.4,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1525093816605894768,,42,,1525093816,605310916,"""gps_right""",,1,1,50.066015,19.91824,245.7,"[1.1881000000000002, 0.0, 0.0, 0.0, 1.1881000000000002, 0.0, 0.0, 0.0, 4.752400000000001]",1
1525093817630381162,,43,,1525093817,630033969,"""gps_right""",,1,1,50.0660166667,19.918225,245.7,"[1.1881000000000002, 0.0, 0.0, 0.0, 1.1881000000000002, 0.0, 0.0, 0.0, 4.752400000000001]",1
