rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1524145439185491545,,42,,1524145439,185491545,"""gps_left""",,1,1,50.064135,19.91495,236.2,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145439538533467,,1,,1524145439,545296907,"""gps_left""",,1,1,50.064125,19.9149583333,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145440173825193,,43,,1524145440,173825193,"""gps_left""",,1,1,50.064135,19.91495,236.2,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145440577197069,,2,,1524145440,583600997,"""gps_left""",,1,1,50.064125,19.9149583333,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145441202665548,,44,,1524145441,202665548,"""gps_left""",,1,1,50.064135,19.91495,236.2,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145441726993308,,3,,1524145441,726541996,"""gps_left""",,1,1,50.064125,19.9149583333,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145442312187778,,45,,1524145442,312187778,"""gps_left""",,1,1,50.064135,19.91495,236.2,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145442554114713,,4,,1524145442,562659978,"""gps_left""",,1,1,50.064125,19.9149583333,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145443210131667,,46,,1524145443,210131667,"""gps_left""",,1,1,50.064135,19.91495,236.2,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145443542952478,,5,,1524145443,551435947,"""gps_left""",,1,1,50.064125,19.9149583333,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145444197672339,,47,,1524145444,197672339,"""gps_left""",,1,1,50.064135,19.91495,236.2,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145444550523736,,6,,1524145444,553292036,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145445206374788,,48,,1524145445,206374788,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145445569209021,,7,,1524145445,570261955,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145446234933306,,49,,1524145446,234933306,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145446698711010,,8,,1524145446,700606107,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145447333967686,,50,,1524145447,333967686,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145447565875713,,9,,1524145447,567662000,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145448201330659,,51,,1524145448,191235170,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145448554176739,,10,,1524145448,553873062,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145449200057839,,52,,1524145449,200057839,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145449542987010,,11,,1524145449,550201892,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145450199015051,,53,,1524145450,199015051,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145450592170212,,12,,1524145450,594811916,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145451228047397,,54,,1524145451,228047397,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145451701988582,,13,,1524145451,706309080,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145452317352624,,55,,1524145452,317352624,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145452549139339,,14,,1524145452,553173065,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145453194885640,,56,,1524145453,194885640,"""gps_left""",,1,1,50.064135,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145453557979424,,15,,1524145453,558197021,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145454213932825,,57,,1524145454,213932825,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145454556737434,,16,,1524145454,563790082,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145455202428271,,58,,1524145455,202428271,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145455565557863,,17,,1524145455,571676015,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145456221247370,,59,,1524145456,221247370,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145456695071197,,18,,1524145456,695285081,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145457330192294,,60,,1524145457,330192294,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145457552018785,,19,,1524145457,552155971,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145458197913751,,61,,1524145458,197913751,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145458540697716,,20,,1524145458,545058012,"""gps_left""",,1,1,50.064125,19.9149566667,241.2,"[0.8464, 0.0, 0.0, 0.0, 0.8464, 0.0, 0.0, 0.0, 3.3856]",1
1524145459196252770,,62,,1524145459,196252770,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145459559038091,,21,,1524145459,562674045,"""gps_left""",,1,1,50.0641233333,19.9149566667,241.2,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145460224559991,,63,,1524145460,224559991,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145460557097993,,22,,1524145460,562696933,"""gps_left""",,1,1,50.0641133333,19.9149516667,240.7,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524145461202926670,,64,,1524145461,202926670,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145461676832144,,23,,1524145461,681627988,"""gps_left""",,1,1,50.0641,19.9149366667,240.2,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145462281816020,,65,,1524145462,281816020,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524145462554047466,,24,,1524145462,557333946,"""gps_left""",,1,1,50.0640866667,19.9149283333,240.0,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145463209548650,,66,,1524145463,209548650,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145463552475180,,25,,1524145463,557610034,"""gps_left""",,1,1,50.0640683333,19.91492,239.6,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145464198424135,,67,,1524145464,198424135,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145464541309657,,26,,1524145464,546277046,"""gps_left""",,1,1,50.0640533333,19.91491,239.2,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145465206963373,,68,,1524145465,206963373,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145465590003171,,27,,1524145465,591515064,"""gps_left""",,1,1,50.0640383333,19.9149016667,239.0,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145466245446899,,69,,1524145466,245446899,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145466699179915,,28,,1524145466,707504034,"""gps_left""",,1,1,50.0640233333,19.9148966667,238.5,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145467344460311,,70,,1524145467,344460311,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524145467576394504,,29,,1524145467,584132909,"""gps_left""",,1,1,50.0640116667,19.9148916667,238.1,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524145468201537595,,71,,1524145468,201537595,"""gps_left""",,1,1,50.0641366667,19.9149516667,236.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
