rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1524143325640533389,,40,,1524143325,640105009,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143326673449053,,41,,1524143326,672801017,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143327617567697,,42,,1524143327,617070913,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143328629468859,,43,,1524143328,628973007,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143329621446394,,44,,1524143329,620938062,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143330649550402,,45,,1524143330,649135112,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143331682204388,,46,,1524143331,681659936,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143332620841088,,47,,1524143332,620477914,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143333626199551,,48,,1524143333,625880956,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143334622130802,,49,,1524143334,621885061,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143335665592758,,50,,1524143335,665189027,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143336698184240,,51,,1524143336,697926998,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143337607394677,,52,,1524143337,607089996,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143338600663409,,53,,1524143338,600263118,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.9216, 0.0, 0.0, 0.0, 0.9216, 0.0, 0.0, 0.0, 3.6864]",1
1524143339610070891,,54,,1524143339,609653949,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.9216, 0.0, 0.0, 0.0, 0.9216, 0.0, 0.0, 0.0, 3.6864]",1
1524143340631226541,,55,,1524143340,630831003,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.9216, 0.0, 0.0, 0.0, 0.9216, 0.0, 0.0, 0.0, 3.6864]",1
1524143341798871838,,56,,1524143341,798666000,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143342691378500,,57,,1524143342,690927982,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143343617267982,,58,,1524143343,616949081,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143344608912513,,59,,1524143344,608699083,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143345648826730,,60,,1524143345,648329973,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143346681175810,,61,,1524143346,680780887,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143347614553273,,62,,1524143347,614176988,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143348617310657,,63,,1524143348,617043972,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143349614894931,,64,,1524143349,614625930,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143350638270853,,65,,1524143350,637931108,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143351668786615,,66,,1524143351,668351888,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143352609913333,,67,,1524143352,609623908,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143353597086951,,68,,1524143353,596591949,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143354600088181,,69,,1524143354,599664926,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143355623178791,,70,,1524143355,622894048,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143356752644448,,71,,1524143356,752357959,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1524143357602748946,,72,,1524143357,602360963,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143358576688925,,73,,1524143358,576469898,"""gps_left""",,1,1,50.0641183333,19.9149666667,250.1,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1524143359606321968,,74,,1524143359,605942964,"""gps_left""",,1,1,50.0641166667,19.9149666667,250.1,"[0.8649000000000001, 0.0, 0.0, 0.0, 0.8649000000000001, 0.0, 0.0, 0.0, 3.4596000000000005]",1
1524143360649182140,,75,,1524143360,648829936,"""gps_left""",,1,1,50.0641166667,19.9149666667,250.0,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143361679976660,,76,,1524143361,679361104,"""gps_left""",,1,1,50.0641166667,19.914965,250.0,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143362610415668,,77,,1524143362,609941959,"""gps_left""",,1,1,50.064115,19.914965,250.0,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143363617944964,,78,,1524143363,617472887,"""gps_left""",,1,1,50.064115,19.914965,250.0,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143364600692348,,79,,1524143364,600395917,"""gps_left""",,1,1,50.064115,19.914965,250.0,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143365632607261,,80,,1524143365,632334947,"""gps_left""",,1,1,50.064115,19.914965,250.0,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143366654635372,,81,,1524143366,654386043,"""gps_left""",,1,1,50.064115,19.914965,250.0,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
1524143367619783757,,82,,1524143367,619478940,"""gps_left""",,1,1,50.064115,19.914965,250.0,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143368607739343,,83,,1524143368,607462882,"""gps_left""",,1,1,50.0641133333,19.9149633333,250.0,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143369611870769,,84,,1524143369,611440896,"""gps_left""",,1,1,50.0641133333,19.9149633333,250.0,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143370642240424,,85,,1524143370,641855955,"""gps_left""",,1,1,50.0641133333,19.9149633333,250.0,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1524143371657929591,,86,,1524143371,657687902,"""gps_left""",,1,1,50.0641133333,19.9149633333,250.0,"[0.8281000000000001, 0.0, 0.0, 0.0, 0.8281000000000001, 0.0, 0.0, 0.0, 3.3124000000000002]",1
