rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1524142556721363346,,4,,1524142556,721039056,"""gps_left""",,0,1,50.0649566667,19.9166933333,258.9,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142557570331598,,5,,1524142557,569746971,"""gps_left""",,0,1,50.0649566667,19.9166933333,258.9,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142558568404355,,6,,1524142558,567972898,"""gps_left""",,0,1,50.0649566667,19.9166933333,258.9,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142559562245931,,7,,1524142559,561719894,"""gps_left""",,0,1,50.0649566667,19.9166933333,258.9,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142560592187129,,8,,1524142560,591788053,"""gps_left""",,0,1,50.0649566667,19.9166933333,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142561729440958,,9,,1524142561,728971958,"""gps_left""",,0,1,50.0649566667,19.9166933333,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142562560722747,,10,,1524142562,560149908,"""gps_left""",,0,1,50.0649566667,19.9166933333,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142563551918355,,11,,1524142563,551687955,"""gps_left""",,0,1,50.0649583333,19.9166933333,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142564560286831,,12,,1524142564,559818029,"""gps_left""",,0,1,50.0649583333,19.9166933333,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142565583614333,,13,,1524142565,582984924,"""gps_left""",,0,1,50.0649583333,19.9166933333,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142566714027816,,14,,1524142566,713727951,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142567554990437,,15,,1524142567,554630994,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142568551315192,,16,,1524142568,551038026,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142569556466237,,17,,1524142569,556087970,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142570582779269,,18,,1524142570,582441091,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142571686973660,,19,,1524142571,686650991,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142572542938524,,20,,1524142572,542581081,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142573560120378,,21,,1524142573,559887886,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.81, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 0.0, 3.24]",1
1524142574538840496,,22,,1524142574,538485050,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1524142575599717487,,23,,1524142575,598957061,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142576718740362,,24,,1524142576,718480110,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142577572744039,,25,,1524142577,572437047,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142578556064336,,26,,1524142578,555638074,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.9216, 0.0, 0.0, 0.0, 0.9216, 0.0, 0.0, 0.0, 3.6864]",1
1524142579577243057,,27,,1524142579,576874017,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.7395999999999999, 0.0, 0.0, 0.0, 0.7395999999999999, 0.0, 0.0, 0.0, 2.9583999999999997]",1
1524142580597151030,,28,,1524142580,596699953,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1524142581716739976,,29,,1524142581,716409921,"""gps_left""",,0,1,50.0649583333,19.9166916667,259.0,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
