rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1524736237976160764,,6,,1524736237,847836971,"""gps""",,2,0,50.0647544184,19.9193572502,250.394143399,"[0.07604467955139016, 2.2890295663198154e-06, 0.0, 2.2890295663198154e-06, 0.07604026975118834, 0.0, 0.0, 0.0, 4.946581377633197e-07]",3
1524736237988162331,,6,,1524736237,948257923,"""gps""",,2,0,50.0646699337,19.9190832501,275.290146188,"[0.07606569014292892, 2.3753174882325256e-06, 0.0, 2.375317488233393e-06, 0.07606111411326481, 0.0, 0.0, 0.0, 4.968108429582935e-07]",3
1524736238976094479,,7,,1524736238,847968102,"""gps""",,2,0,50.0647525303,19.9193531021,250.394143399,"[0.06563757898355686, 2.5270096148232585e-06, 0.0, 2.527009614822391e-06, 0.06563271070835869, 0.0, 0.0, 0.0, 4.955829734523128e-07]",3
1524736238988123224,,7,,1524736238,948286057,"""gps""",,2,0,50.0646680456,19.919079102,275.290146188,"[0.06565852894485856, 2.6127452773753307e-06, 0.0, 2.612745277376198e-06, 0.06565349550165328, 0.0, 0.0, 0.0, 4.967745461383042e-07]",3
1524736239976085224,,8,,1524736239,848225117,"""gps""",,2,0,50.0647505223,19.919348914,250.394143399,"[0.05750606182465947, 2.7599659804559626e-06, 0.0, 2.7599659804550952e-06, 0.0575007446322268, 0.0, 0.0, 0.0, 4.965427087774047e-07]",3
1524736239988126875,,8,,1524736239,947984934,"""gps""",,2,0,50.0646660376,19.9190749139,275.290146188,"[0.05752688298441103, 2.844858748733692e-06, 0.0, 2.844858748733692e-06, 0.0575214022460055, 0.0, 0.0, 0.0, 4.956143793101586e-07]",3
1524736240976276081,,9,,1524736240,848368883,"""gps""",,2,0,50.0647478076,19.9193429893,250.394143399,"[0.05073688747617517, 2.9659132079942058e-06, 0.0, 2.9659132079942058e-06, 0.05073117344013213, 0.0, 0.0, 0.0, 4.970888584281502e-07]",3
1524736240988138649,,9,,1524736240,947848082,"""gps""",,2,0,50.0646633229,19.9190689892,275.290146188,"[0.05075757938432819, 3.050794292642177e-06, 0.0, 3.0507942926430442e-06, 0.05075170183399276, 0.0, 0.0, 0.0, 4.947595853873791e-07]",3
1524736241976227593,,10,,1524736241,847843885,"""gps""",,2,0,50.0647458543,19.9193388974,250.394143399,"[0.04720390724788659, 3.386945436763787e-06, 0.0, 3.38694543676292e-06, 0.04719738204545695, 0.0, 0.0, 0.0, 4.946114705169746e-07]",3
1524736241988056260,,10,,1524736241,948446989,"""gps""",,2,0,50.0646613413,19.9190649168,275.290146188,"[0.047225180642576074, 3.5778168590632972e-06, 0.0, 3.57781685906243e-06, 0.04721828104449331, 0.0, 0.0, 0.0, 4.971751274641433e-07]",3
