rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1524751825671598911,,7,,1524751825,671267986,"""gps_left""",,1,1,50.06547,19.91944,268.1,"[3.0976, 0.0, 0.0, 0.0, 3.0976, 0.0, 0.0, 0.0, 12.3904]",1
1524751826662682947,,8,,1524751826,662271976,"""gps_left""",,1,1,50.0654866667,19.9194633333,267.1,"[3.1684, 0.0, 0.0, 0.0, 3.1684, 0.0, 0.0, 0.0, 12.6736]",1
1524751827660361554,,9,,1524751827,659966945,"""gps_left""",,1,1,50.0655083333,19.9194866667,266.1,"[3.1684, 0.0, 0.0, 0.0, 3.1684, 0.0, 0.0, 0.0, 12.6736]",1
1524751828697334142,,10,,1524751828,696535110,"""gps_left""",,1,1,50.0655116667,19.9195,265.4,"[3.1684, 0.0, 0.0, 0.0, 3.1684, 0.0, 0.0, 0.0, 12.6736]",1
1524751829711007377,,11,,1524751829,710652112,"""gps_left""",,1,1,50.0655266667,19.9195166667,264.9,"[3.1684, 0.0, 0.0, 0.0, 3.1684, 0.0, 0.0, 0.0, 12.6736]",1
1524751830653398236,,12,,1524751830,653208971,"""gps_left""",,1,1,50.0655416667,19.91953,264.2,"[3.1684, 0.0, 0.0, 0.0, 3.1684, 0.0, 0.0, 0.0, 12.6736]",1
1524751831656595957,,13,,1524751831,656198024,"""gps_left""",,1,1,50.06555,19.91953,263.5,"[3.8809, 0.0, 0.0, 0.0, 3.8809, 0.0, 0.0, 0.0, 15.5236]",1
1524751832647221315,,14,,1524751832,646791934,"""gps_left""",,1,1,50.0655683333,19.9195266667,262.8,"[3.8809, 0.0, 0.0, 0.0, 3.8809, 0.0, 0.0, 0.0, 15.5236]",1
1524751833687165068,,15,,1524751833,686737060,"""gps_left""",,1,1,50.0655833333,19.919525,262.3,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751834696825879,,16,,1524751834,696541070,"""gps_left""",,1,1,50.0655933333,19.9195133333,262.0,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751835662809106,,17,,1524751835,662504911,"""gps_left""",,1,1,50.0655983333,19.9195033333,261.8,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751836661145167,,18,,1524751836,660882949,"""gps_left""",,1,1,50.0656083333,19.919495,261.8,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751837655416240,,19,,1524751837,655092954,"""gps_left""",,1,1,50.065615,19.9194866667,261.8,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751838708268851,,20,,1524751838,707700014,"""gps_left""",,1,1,50.065625,19.91948,261.6,"[1.8496000000000004, 0.0, 0.0, 0.0, 1.8496000000000004, 0.0, 0.0, 0.0, 7.398400000000001]",1
1524751839730906427,,21,,1524751839,730107069,"""gps_left""",,1,1,50.0656333333,19.9194716667,261.4,"[1.8496000000000004, 0.0, 0.0, 0.0, 1.8496000000000004, 0.0, 0.0, 0.0, 7.398400000000001]",1
1524751840666860599,,22,,1524751840,666505098,"""gps_left""",,1,1,50.06564,19.919465,261.2,"[1.8496000000000004, 0.0, 0.0, 0.0, 1.8496000000000004, 0.0, 0.0, 0.0, 7.398400000000001]",1
1524751841653621522,,23,,1524751841,652906894,"""gps_left""",,1,1,50.0656466667,19.9194533333,260.9,"[4.040099999999999, 0.0, 0.0, 0.0, 4.040099999999999, 0.0, 0.0, 0.0, 16.160399999999996]",1
1524751842668160409,,24,,1524751842,667896986,"""gps_left""",,1,1,50.0656533333,19.919445,260.7,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751843696443709,,25,,1524751843,695856094,"""gps_left""",,1,1,50.065665,19.9194333333,260.6,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751844706283449,,26,,1524751844,705796957,"""gps_left""",,1,1,50.065675,19.9194216667,260.8,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751845658558046,,27,,1524751845,658211946,"""gps_left""",,1,1,50.0656883333,19.91941,261.3,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751846659480476,,28,,1524751846,658762931,"""gps_left""",,1,1,50.0657016667,19.9194016667,261.4,"[3.5343999999999998, 0.0, 0.0, 0.0, 3.5343999999999998, 0.0, 0.0, 0.0, 14.137599999999999]",1
1524751847653724547,,29,,1524751847,652889966,"""gps_left""",,1,1,50.065715,19.9193933333,261.4,"[6.5024999999999995, 0.0, 0.0, 0.0, 6.5024999999999995, 0.0, 0.0, 0.0, 26.009999999999998]",1
1524751848688250543,,30,,1524751848,687968015,"""gps_left""",,1,1,50.0657216667,19.9193866667,261.5,"[5.107599999999999, 0.0, 0.0, 0.0, 5.107599999999999, 0.0, 0.0, 0.0, 20.430399999999995]",1
