rosbagTimestamp,gas,data,steering_wheel,data,break_value,data,wheels_encoder,data,rear_wheel_speed,data,hall_l_data,data,hall_r_data,data,chart_state,data,imu_temp,data,eve_info_reg,data
1524914312065779266,,0,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312116144147,,0,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312166383343,,0,,526,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312216236463,,0,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312266537524,,0,,526,,2006,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312316441661,,0,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312366681873,,0,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312416113715,,0,,526,,2010,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312466607515,,2,,526,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312516547294,,0,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312567141025,,0,,526,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312616192927,,0,,525,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312666286794,,0,,526,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312716247356,,0,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312766420724,,0,,526,,2013,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312816328816,,0,,525,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312866532908,,0,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312915939765,,0,,526,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914312966524311,,0,,525,,2013,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313016257126,,0,,525,,2005,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313066230822,,0,,526,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313116019010,,0,,525,,2004,,498,,0.0,,67997,,67922,,2,,28,,28
1524914313166343261,,0,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313216147289,,0,,526,,2005,,498,,0.0,,67997,,67922,,2,,28,,28
1524914313266326324,,0,,526,,2010,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313316376247,,0,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313366107758,,0,,525,,2006,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313416089798,,0,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313466242398,,1,,526,,2010,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313516369880,,0,,526,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313567082107,,0,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313616150665,,0,,525,,2013,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313666419027,,0,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313716143236,,0,,525,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313766454417,,0,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313816173642,,0,,526,,2006,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313866611588,,0,,526,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313916145059,,0,,526,,2006,,497,,0.0,,67997,,67922,,2,,28,,28
1524914313966578106,,0,,526,,2010,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314016244597,,0,,525,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314066671466,,0,,526,,2013,,498,,0.0,,67997,,67922,,2,,28,,28
1524914314116167911,,0,,526,,2005,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314166440055,,0,,525,,2005,,498,,0.0,,67997,,67922,,2,,28,,28
1524914314216239533,,0,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314266471478,,0,,526,,2010,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314316269287,,0,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314366477714,,0,,526,,2010,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314416171135,,0,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314466636326,,0,,526,,2003,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314516304108,,0,,526,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314566372179,,0,,526,,2006,,498,,0.0,,67997,,67922,,2,,28,,28
1524914314616181204,,0,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314666367903,,0,,526,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314716093466,,0,,526,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314766297094,,0,,526,,2010,,498,,0.0,,67997,,67922,,2,,28,,28
1524914314816320525,,0,,526,,1999,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314866562403,,0,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314915897847,,0,,526,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914314966321090,,0,,526,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315016409282,,0,,526,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315066696231,,0,,525,,2013,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315116272338,,0,,526,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315166344531,,0,,525,,2002,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315216063042,,47,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315266375233,,69,,526,,2011,,498,,0.0,,67997,,67922,,2,,28,,28
1524914315316345569,,82,,526,,2003,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315366524226,,100,,525,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315416168092,,117,,526,,2010,,498,,0.0,,67997,,67922,,2,,28,,28
1524914315466366766,,119,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315516181855,,135,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315566639088,,133,,526,,2014,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315616232265,,149,,526,,2011,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315666515154,,154,,525,,2012,,498,,0.0,,67997,,67922,,2,,28,,28
1524914315716115569,,155,,526,,2014,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315766390688,,164,,526,,2011,,498,,0.0,,67997,,67922,,2,,28,,28
1524914315816206180,,174,,525,,2014,,498,,0.0,,67997,,67922,,2,,28,,28
1524914315866662916,,171,,525,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315916006860,,182,,526,,2015,,497,,0.0,,67997,,67922,,2,,28,,28
1524914315966429481,,198,,526,,2015,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316016213312,,198,,525,,2019,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316066391245,,209,,526,,2023,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316116138915,,220,,526,,2028,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316166273633,,220,,526,,2030,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316215770699,,217,,525,,2033,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316266391288,,216,,526,,2028,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316316278116,,208,,526,,2012,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316366548181,,193,,525,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316416297229,,182,,526,,2001,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316466478702,,130,,526,,2009,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316516283995,,84,,526,,2008,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316567285512,,0,,526,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316616200074,,0,,526,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316666406941,,0,,525,,2013,,498,,0.0,,67997,,67922,,2,,28,,28
1524914316716407067,,0,,525,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316766345321,,0,,526,,2007,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316816202922,,0,,525,,2004,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316866513945,,0,,526,,2050,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316916060447,,0,,525,,2141,,497,,0.0,,67997,,67922,,2,,28,,28
1524914316966184353,,0,,525,,2223,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317016191371,,0,,525,,2235,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317066556437,,0,,525,,2242,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317115855158,,0,,525,,2244,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317166074147,,0,,525,,2250,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317216237204,,0,,525,,2251,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317266486545,,0,,525,,2257,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317316466095,,0,,526,,2260,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317366464113,,0,,525,,2258,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317416243869,,0,,525,,2261,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317466667261,,0,,526,,2257,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317515930305,,0,,525,,2265,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317566300931,,0,,526,,2259,,497,,0.0,,67997,,67922,,2,,28,,28
1524914317616143314,,0,,525,,2265,,497,,0.0,,67997,,67922,,0,,28,,24
1524914317666366617,,0,,525,,2265,,498,,0.0,,67997,,67922,,0,,28,,24
1524914317715925651,,0,,525,,2262,,497,,0.0,,67997,,67922,,0,,28,,24
1524914317766477727,,0,,525,,2263,,497,,0.0,,67997,,67922,,0,,28,,24
1524914317816303408,,0,,525,,2259,,498,,0.0,,67997,,67922,,0,,28,,24
1524914317866780912,,0,,525,,2262,,498,,0.0,,67997,,67922,,0,,28,,24
