rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1522934639711005115,,20,,1522934639,710599899,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1522934640845423696,,21,,1522934640,844739913,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1522934641708952188,,22,,1522934641,708575010,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1522934642692037210,,23,,1522934642,691585063,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1522934643678449083,,24,,1522934643,678101062,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.7569, 0.0, 0.0, 0.0, 0.7569, 0.0, 0.0, 0.0, 3.0276]",1
1522934644708078231,,25,,1522934644,707705020,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.7055999999999999, 0.0, 0.0, 0.0, 0.7055999999999999, 0.0, 0.0, 0.0, 2.8223999999999996]",1
1522934645860881580,,26,,1522934645,860415935,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 2.5600000000000005]",1
1522934646722672022,,27,,1522934646,722259044,"""gps""",,1,1,50.0641133333,19.9148833333,251.3,"[0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 2.5600000000000005]",1
1522934647704926903,,28,,1522934647,704384088,"""gps""",,1,1,50.0641133333,19.9148833333,251.2,"[0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 2.5600000000000005]",1
1522934648698653232,,29,,1522934648,698329925,"""gps""",,1,1,50.0641133333,19.9148833333,251.2,"[0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 2.5600000000000005]",1
1522934649717207536,,30,,1522934649,716847896,"""gps""",,1,1,50.0641133333,19.9148816667,251.2,"[0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 2.5600000000000005]",1
1522934650680964267,,31,,1522934650,680569887,"""gps""",,1,1,50.0641133333,19.9148816667,251.2,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1522934651688642545,,32,,1522934651,688174009,"""gps""",,1,1,50.0641133333,19.9148816667,251.2,"[0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 2.5600000000000005]",1
1522934652676717280,,33,,1522934652,676398038,"""gps""",,1,1,50.0641133333,19.9148816667,251.2,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
1522934653703044331,,34,,1522934653,702701091,"""gps""",,1,1,50.0641133333,19.9148816667,251.2,"[0.6400000000000001, 0.0, 0.0, 0.0, 0.6400000000000001, 0.0, 0.0, 0.0, 2.5600000000000005]",1
1522934654698827558,,35,,1522934654,698482036,"""gps""",,1,1,50.0641133333,19.9148816667,251.2,"[0.7921, 0.0, 0.0, 0.0, 0.7921, 0.0, 0.0, 0.0, 3.1684]",1
