rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1523618219755946855,,44,,1523618219,755614042,"""gps_right""",,1,1,50.06476,19.9210566667,250.3,"[1.1664, 0.0, 0.0, 0.0, 1.1664, 0.0, 0.0, 0.0, 4.6656]",1
1523618220582294051,,45,,1523618220,581851959,"""gps_right""",,1,1,50.06476,19.9210566667,250.3,"[1.1664, 0.0, 0.0, 0.0, 1.1664, 0.0, 0.0, 0.0, 4.6656]",1
1523618221600429871,,46,,1523618221,600086927,"""gps_right""",,1,1,50.06476,19.9210566667,250.3,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618222603612579,,47,,1523618222,603069067,"""gps_right""",,1,1,50.06476,19.9210566667,250.3,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618223627227076,,48,,1523618223,626899003,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618224752558592,,49,,1523618224,752131938,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618225592435744,,50,,1523618225,592165946,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618226585936634,,51,,1523618226,585551023,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618227604186542,,52,,1523618227,603624105,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618228633046435,,53,,1523618228,632741928,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618229779165829,,54,,1523618229,778804063,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618230611215152,,55,,1523618230,610905885,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618231584453617,,56,,1523618231,584009885,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618232598298246,,57,,1523618232,597997903,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618233631186857,,58,,1523618233,630769968,"""gps_right""",,1,1,50.06476,19.9210566667,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618234757663739,,59,,1523618234,757332086,"""gps_right""",,1,1,50.06476,19.9210583333,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618235593643463,,60,,1523618235,593329906,"""gps_right""",,1,1,50.06476,19.9210583333,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618236584944623,,61,,1523618236,584506034,"""gps_right""",,1,1,50.06476,19.9210583333,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618237595301902,,62,,1523618237,594847917,"""gps_right""",,1,1,50.06476,19.9210583333,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618238624717846,,63,,1523618238,624423980,"""gps_right""",,1,1,50.0647616667,19.9210583333,250.4,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618239754373955,,64,,1523618239,754023075,"""gps_right""",,1,1,50.0647633333,19.92106,250.4,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618240609126682,,65,,1523618240,608777046,"""gps_right""",,1,1,50.06477,19.921085,250.3,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618241611482304,,66,,1523618241,611120939,"""gps_right""",,1,1,50.0647766667,19.9211083333,249.8,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618242592710726,,67,,1523618242,592401981,"""gps_right""",,1,1,50.064785,19.9211233333,250.3,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618243635676890,,68,,1523618243,635235071,"""gps_right""",,1,1,50.0647933333,19.921135,250.2,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618244649329361,,69,,1523618244,649032115,"""gps_right""",,1,1,50.0648033333,19.9211466667,250.2,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618245599399799,,70,,1523618245,599123001,"""gps_right""",,1,1,50.0648133333,19.9211633333,249.9,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618246600425392,,71,,1523618246,599690914,"""gps_right""",,1,1,50.064825,19.9211766667,249.8,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618247591997000,,72,,1523618247,591639995,"""gps_right""",,1,1,50.06484,19.921185,249.4,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618248621689260,,73,,1523618248,621337890,"""gps_right""",,1,1,50.0648516667,19.92119,249.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618249755832197,,74,,1523618249,755460023,"""gps_right""",,1,1,50.0648616667,19.9211883333,249.1,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618250598984775,,75,,1523618250,598623991,"""gps_right""",,1,1,50.06487,19.9211933333,249.2,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618251607349445,,76,,1523618251,606973886,"""gps_right""",,1,1,50.06488,19.9211966667,249.0,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618252599444252,,77,,1523618252,599035024,"""gps_right""",,1,1,50.0648866667,19.9212066667,248.6,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618253632178691,,78,,1523618253,631808042,"""gps_right""",,1,1,50.0648983333,19.9212133333,247.8,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618254778659201,,79,,1523618254,778223037,"""gps_right""",,1,1,50.064915,19.921225,247.5,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618255602464555,,80,,1523618255,602200031,"""gps_right""",,1,1,50.0649333333,19.921235,246.9,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618256598327720,,81,,1523618256,597930908,"""gps_right""",,1,1,50.0649466667,19.92124,246.9,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618257594253731,,82,,1523618257,593981027,"""gps_right""",,1,1,50.0649566667,19.921245,246.7,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618258630244340,,83,,1523618258,629940032,"""gps_right""",,1,1,50.064975,19.9212516667,245.9,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618259764488090,,84,,1523618259,764142990,"""gps_right""",,1,1,50.0649866667,19.9212566667,245.7,"[0.9801, 0.0, 0.0, 0.0, 0.9801, 0.0, 0.0, 0.0, 3.9204]",1
1523618260589097445,,85,,1523618260,588682889,"""gps_right""",,1,1,50.0650016667,19.9212633333,245.6,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
1523618261589082938,,86,,1523618261,588665962,"""gps_right""",,1,1,50.06501,19.9212716667,245.5,"[1.0609, 0.0, 0.0, 0.0, 1.0609, 0.0, 0.0, 0.0, 4.2436]",1
