rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,"\ instead.\n""",file,function,line,topics
1523877350569946749,,126,,1523877350,569604394,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877350656857065,,127,,1523877350,656666841,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8861942212879627689)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877350668862500,,128,,1523877350,668574398,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8861942212879627689)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877351656886583,,129,,1523877351,656653521,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8861524795871980054)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877351668794299,,130,,1523877351,668523500,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8861524795871980054)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877352573024717,,131,,1523877352,572683243,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877352656834926,,132,,1523877352,656644108,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8861467811917995707)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877352668825763,,133,,1523877352,668525310,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8861467811917995707)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877353656834045,,134,,1523877353,656646714,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8862049838698413673)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877353668863568,,135,,1523877353,668536528,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8862049838698413673)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877354574431599,,136,,1523877354,574115341,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877354656857145,,137,,1523877354,656656813,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8861740885497950693)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877354668735379,,138,,1523877354,668505560,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8861740885497950693)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877355656836930,,139,,1523877355,656643470,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.886035586885824511)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877355668767420,,140,,1523877355,668513374,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.886035586885824511)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877356578242224,,141,,1523877356,577983033,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877356656826978,,142,,1523877356,656645433,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8861253859112760978)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
