rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1524143325644807076,,40,,1524143325,644257068,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[0.9216, 0.0, 0.0, 0.0, 0.9216, 0.0, 0.0, 0.0, 3.6864]",1
1524143326667009783,,41,,1524143326,666552066,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524143327604131552,,42,,1524143327,603899955,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.0201, 0.0, 0.0, 0.0, 1.0201, 0.0, 0.0, 0.0, 4.0804]",1
1524143328580851728,,43,,1524143328,580200910,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.4161, 0.0, 0.0, 0.0, 1.4161, 0.0, 0.0, 0.0, 5.6644]",1
1524143329594298519,,44,,1524143329,593950986,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1524143330601439840,,45,,1524143330,601139068,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1524143331724964143,,46,,1524143331,724431037,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1524143332587680151,,47,,1524143332,587296009,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1524143333567562265,,48,,1524143333,567059040,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1524143334572677752,,49,,1524143334,572139024,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1524143335627490765,,50,,1524143335,627150058,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.44, 0.0, 0.0, 0.0, 1.44, 0.0, 0.0, 0.0, 5.76]",1
1524143336641332919,,51,,1524143336,640949010,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.0201, 0.0, 0.0, 0.0, 1.0201, 0.0, 0.0, 0.0, 4.0804]",1
1524143337620560707,,52,,1524143337,620254993,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.0201, 0.0, 0.0, 0.0, 1.0201, 0.0, 0.0, 0.0, 4.0804]",1
1524143338587891062,,53,,1524143338,587368965,"""gps_right""",,1,1,50.0641283333,19.9149083333,242.5,"[1.0201, 0.0, 0.0, 0.0, 1.0201, 0.0, 0.0, 0.0, 4.0804]",1
