rosbagTimestamp,northing,data,easting,data
1526291568224738434,,5548283.71589,,7422651.14053
1526291568274527388,,5548283.71644,,7422651.14114
1526291568324757048,,5548283.71384,,7422651.1417
1526291568375137620,,5548283.71441,,7422651.14087
1526291568425122933,,5548283.71513,,7422651.14183
1526291568475167757,,5548283.71831,,7422651.14009
1526291568525232142,,5548283.71626,,7422651.14113
1526291568574529566,,5548283.71682,,7422651.14043
1526291568625000294,,5548283.71496,,7422651.14076
1526291568675333931,,5548283.7168,,7422651.1421
1526291568724778388,,5548283.71624,,7422651.14209
1526291568774701277,,5548283.71755,,7422651.14115
1526291568825701166,,5548283.71774,,7422651.14092
1526291568874478940,,5548283.71682,,7422651.14055
1526291568925705093,,5548283.7207,,7422651.14144
1526291568974991461,,5548283.7194,,7422651.14166
1526291569025235841,,5548283.72235,,7422651.14254
1526291569074939909,,5548283.72291,,7422651.14254
1526291569125249576,,5548283.71828,,7422651.14236
1526291569174872210,,5548283.71941,,7422651.14082
1526291569225242272,,5548283.72016,,7422651.14071
1526291569274504205,,5548283.71735,,7422651.14246
1526291569324517339,,5548283.71957,,7422651.1425
1526291569374408710,,5548283.71864,,7422651.14296
1526291569424918505,,5548283.71847,,7422651.142
1526291569474964408,,5548283.7179,,7422651.14271
1526291569525052249,,5548283.72086,,7422651.14347
1526291569574903064,,5548283.71827,,7422651.14307
1526291569625410019,,5548283.71938,,7422651.14333
1526291569674830297,,5548283.71548,,7422651.14351
1526291569725230031,,5548283.71974,,7422651.14357
1526291569774966965,,5548283.71902,,7422651.14249
1526291569825224575,,5548283.71939,,7422651.14213
1526291569874877766,,5548283.71756,,7422651.14092
1526291569924908582,,5548283.71701,,7422651.14019
1526291569974919474,,5548283.71884,,7422651.14165
1526291570024969647,,5548283.71941,,7422651.14094
1526291570075077423,,5548283.71958,,7422651.14178
1526291570125385035,,5548283.71421,,7422651.14122
1526291570174791876,,5548283.71569,,7422651.14208
1526291570230036575,,5548283.71403,,7422651.14146
1526291570274898170,,5548283.71497,,7422651.1404
1526291570325210533,,5548283.71477,,7422651.14135
1526291570375085776,,5548283.71567,,7422651.14316
1526291570424936798,,5548283.71682,,7422651.14067
1526291570475162608,,5548283.71644,,7422651.14138
1526291570524820597,,5548283.7127,,7422651.14347
1526291570579088005,,5548283.7142,,7422651.14194
1526291570624983938,,5548283.71585,,7422651.14364
1526291570674384740,,5548283.71567,,7422651.14327
1526291570725029386,,5548283.71493,,7422651.14291
1526291570775012128,,5548283.7177,,7422651.14366
1526291570825466158,,5548283.71623,,7422651.14316
1526291570874973616,,5548283.71513,,7422651.14207
1526291570924739978,,5548283.71885,,7422651.14153
1526291570974472953,,5548283.71402,,7422651.14206
1526291571024903649,,5548283.7192,,7422651.14273
1526291571074757058,,5548283.71642,,7422651.14245
1526291571124699241,,5548283.71658,,7422651.14412
1526291571174747982,,5548283.71624,,7422651.14245
1526291571225294183,,5548283.71512,,7422651.14279
1526291571274466854,,5548283.71475,,7422651.14255
1526291571324614316,,5548283.7105,,7422651.14201
1526291571374600421,,5548283.71253,,7422651.14204
1526291571424745273,,5548283.71217,,7422651.14155
1526291571474764082,,5548283.71289,,7422651.14323
1526291571524871071,,5548283.71308,,7422651.14252
1526291571573973331,,5548283.71273,,7422651.14132
1526291571624251140,,5548283.71292,,7422651.14073
1526291571673878911,,5548283.71365,,7422651.14193
1526291571723963837,,5548283.71383,,7422651.14241
1526291571774355554,,5548283.71367,,7422651.1405
1526291571824256950,,5548283.7131,,7422651.14157
1526291571874098353,,5548283.71459,,7422651.14111
1526291571924139066,,5548283.71348,,7422651.14109
1526291571974684797,,5548283.71403,,7422651.14086
1526291572024769704,,5548283.71386,,7422651.14038
